barcode,name_file1,internal_conflict_file1,name_file2,internal_conflict_file2,status
3850104267215.0,,,Vegeta tyúkhúsleves-kocka 12 x 10 g (120 g),False,only_in_file2
3850104284458.0,,,Lino Lada tejes kenhető krém kókusszal 350 g,False,only_in_file2
3850104284762.0,,,Vegeta Natur gyros fűszerkeverék 20 g,False,only_in_file2
3850104284786.0,,,Vegeta Natur ínyenc oldalas fűszerkeverék 20 g,False,only_in_file2
3850116034041.0,,,Ledo Quinoa Mix gyorsfagyasztott zöldségek quinoával és tönköllyel 400 g,False,only_in_file2
3850116036052.0,,,Ledo Bulgur Mix gyorsfagyasztott zöldségek bulgárral és árpával 400 g,False,only_in_file2
3850355005062.0,,,Président Salakis zsíros lágy sajt 150 g,False,only_in_file2
3856020213572.0,,,Lino Lada Gold mogyorós kenhető krém mogyoródarabkákkal 350 g,False,only_in_file2
3856020222178.0,,,Vegeta Natur sertés fűszerkeverék 20 g,False,only_in_file2
3858886469179.0,,,Podravka klasszikus csirkepástétom 95 g,False,only_in_file2
3858886469230.0,,,Podravka klasszikus sertéspástétom sertésmájjal 95 g,False,only_in_file2
4000415110505.0,,,Schogetten alpesi tejcsokoládé 100 g,False,only_in_file2
4000415328702.0,,,Fontessa vegyes desszert 200 g,False,only_in_file2
4000417028006.0,,,Ritter Sport étcsokoládé borsmenta ízű krémmel 100 g,False,only_in_file2
4000417237002.0,,,"Ritter Sport epres, sovány joghurtoskrémmel és eperdarabokkal töltött tejcsokoládé 100 g",False,only_in_file2
4000417271006.0,,,Ritter Sport tejcsokoládé ropogós sós-vajas karamelladarabokkal és karamelldarabokkal 100 g,False,only_in_file2
4000435605807.0,,,Ammerländer trappista sajt 700 g,False,only_in_file2
4000521026110.0,,,"Dr. Oetker Finesse reszelt citromhéj, dextrózzal és aromával 3 x 6 g (18 g)",False,only_in_file2
4000539014000.0,,,Lindt Creation Orange csokoládéhabbal és narancskrémmel töltött keserű csokoládé 150 g,False,only_in_file2
4000539140327.0,,,Lindt Classic Recipe Vegan Smooth kakaós szelet zabitalporral és mandulapasztával 100 g,False,only_in_file2
4000539140365.0,,,"Lindt Classic Recipe Vegan Hazelnut kakaós szelet zabitalporral, mandulapasztával 100 g",False,only_in_file2
4000539142581.0,,,"Lindt Dubai Style tejcsokoládé, pisztáciás és ropogós, pirított Kadayif tésztás töltelékkel 145 g",False,only_in_file2
4001686386736.0,,,Haribo Goldbären Saft gyümölcsízű gumicukorka gyümölcslével 85 g,False,only_in_file2
4001686705315.0,,,Haribo Berries zselés cukordrazsé 100 g,False,only_in_file2
4001726005306.0,,,Diamant fahéjas szórócukor 200 g,False,only_in_file2
4002221046115.0,,,Milford vörös áfonya ízesítésű gyümölcstea 20 filter 45 g,False,only_in_file2
4002359017063.0,,,Ben´s Original szósz chili con carne-hoz 400 g,False,only_in_file2
4002809025617.0,,,RUF természetes pisztácia-mogyoró-csokoládé darabok 30 g,False,only_in_file2
4003084319385.0,,,Trolli Sour Glowworms gumicukorka 100 g,False,only_in_file2
4005528134578.0,,,Monday Minions Mini Coco's ropogós reggeli gabonapelyhek rizzsel és zsírszegény kakaóval 311 g,False,only_in_file2
4008167040002.0,,,Dallmayr Home Barista Caffé Crema Forte pörkölt szemes kávé 1000 g,False,only_in_file2
4008167103219.0,,,"Dallmayr Prodomo pörkölt, szemes kávé 500 g",False,only_in_file2
4008400284620.0,,,Kinder Schoko-Bons tejcsokoládé bonbonok tejes krémmel és mogyoródarabkákkal töltve 46 g,False,only_in_file2
40084107.0,,,"Kinder Meglepetés belső tejes réteggel bevont tejcsokoládé figura, belsejében meglepetéssel 20 g",False,only_in_file2
4011100005846.0,,,M&M‘s földimogyorós drazsé tejcsokoládéban cukorbevonattal 250 g,False,only_in_file2
4011548037027.0,,,"Cetebe Immuntrio C-vitamin, D-vitamin és cink étrend-kiegészítő kapszula 60 db 39,2 g",False,only_in_file2
4011800567316.0,,,Corny Big müzliszelet csokoládéval 50 g,False,only_in_file2
4011800567415.0,,,Corny Big müzliszelet banánnal tejcsokoládéba mártva 50 g,False,only_in_file2
4012200221808.0,,,"Kühne krémes, enyhén csípős mustár 255 g",False,only_in_file2
4012200383803.0,,,Kühne barbecue szósz 250 ml,False,only_in_file2
40122342.0,,,Kühne enyhén csípős mustár 255 g,False,only_in_file2
40122472.0,,,Kühne Ezersziget öntet 250 ml,False,only_in_file2
4012824400658.0,,,YogiTea Bio Black Chai tea 17x,False,only_in_file2
4012824401631.0,,,"Yogi Tea BIO női egyensúly tea 17 filter 30,6 g",False,only_in_file2
4012824401969.0,,,"Yogi Tea BIO energizáló zöld tea 17 filter 30,6 g",False,only_in_file2
4012824402454.0,,,YogiTea Bio Édes chai tea 17x,False,only_in_file2
4012824402485.0,,,"Yogi Tea BIO lefekvés előtti tea 17 filter 30,6 g",False,only_in_file2
4012824403222.0,,,Yogi Tea BIO immunerősítő tea 17 filter 34 g,False,only_in_file2
4012824406018.0,,,Yogi Tea Ashwagandha egyensúly tea 17 filter 34 g,False,only_in_file2
4014400140323.0,,,Merci tejcsokoládé mogyorókrémmel töltve 112 g,False,only_in_file2
4014400901412.0,,,Merci Intense Selection 4 csokoládé-különlegesség 250 g,False,only_in_file2
4014400908527.0,,,Werther's Original tejszínes töltetlen keménycukorka 90 g,False,only_in_file2
4014400913040.0,,,nimm2 Smilegummi Yoghurt vegyes gyümölcs ízű joghurtos gumicukorka vitaminokkal 100 g,False,only_in_file2
4014400914252.0,,,Merci tejcsokoládé mogyoró- és manduladarabkákkal 100 g,False,only_in_file2
4014400917956.0,,,Merci Crispy Selection 4 mandulás csokoládékülönlegesség 250 g,False,only_in_file2
4014400918977.0,,,Werther's Original karamella tejcsokoládéval bevonva 70 g,False,only_in_file2
4014400923735.0,,,Merci Mousse Selection 4 habkrémes csokoládékülönlegesség 210 g,False,only_in_file2
4014400927429.0,,,Merci Petits Dark Milk tejcsokoládé 125 g,False,only_in_file2
4014400927443.0,,,Merci Petits fehércsokoládé kávés-tejszínes csokoládé rétegen 125 g,False,only_in_file2
4014400929010.0,,,Knoppers Minis töltött ostya kakaós tejbevonóval félig mártva 200 g,False,only_in_file2
40144559.0,,,Knoppers Black & White tejes-mogyorós töltött ostya kakaós tejbevonóval félig má,False,only_in_file2
40144580.0,,,"Knoppers tejkrémmel, nugátkrémmel, kekszdarabkákkal, aprított mogyoróval töltött ostyaszelet 40 g",False,only_in_file2
4014500030364.0,,,"Zott Toasty Emmentaler szeletelt, ementáli ízű, zsíros ömlesztett sajt 8 x 18,75 g (150 g)",False,only_in_file2
4014500520407.0,,,"Zott Protein Classic Mozzarella zsíros, lágy, hevített-gyúrt sajt 4 x 21 g (84 g)",False,only_in_file2
4017100209833.0,,,Leibniz tejcsokoládés vajas keksz 125 g,False,only_in_file2
4018077821691.0,,,Lorenz Pomsticks burgonya pálcikák tejfölös ízesítéssel 85 g,False,only_in_file2
4018077821790.0,,,Lorenz Pomsticks burgonya pálcikák paprikás ízesítéssel 85 g,False,only_in_file2
4018077821851.0,,,Lorenz Pomsticks burgonya pálcikák chili ízesítéssel 85 g,False,only_in_file2
40198637.0,,,Kühne Made For Meat Sriracha csípős chili szósz 235 ml,False,only_in_file2
40198651.0,,,Kühne Made for Meat füstölt borsos barbeque szósz 235 ml,False,only_in_file2
40198668.0,,,Kühne Made for Meat burger stílusú chipotle paprikás szósz 235 ml,False,only_in_file2
4023600011807.0,,,Dr. Oetker csokoládés tejszín puding 500 g,False,only_in_file2
4025500253905.0,,,Müller Müllermilch csokoládé-karamell-keksz ízű zsírszegény tejital 400 g,False,only_in_file2
4025500298241.0,,,Müller Müllermilch csokoládé-kókusz ízű zsírszegény tejital 400 g,False,only_in_file2
4061445008255.0,,,"Tchibo Caffè Crema Intense szemes, pörkölt kávé 1 kg",False,only_in_file2
4061445292401.0,,,"Eduscho Espresso Intensive szemes, pörkölt kávé 500 g",False,only_in_file2
4061445301905.0,,,Eduscho Classic instant kávé 100 g,False,only_in_file2
4062300255081.0,,,HiPP BIO ravioli zöldséggel töltve paradicsomos-zöldséges szószban tésztakészítmény 1 év+ 250 g,False,only_in_file2
4062300276437.0,,,HiPP BIO bolognai lasagne tésztakészítmény marhahússal 1 éves kortól gyerekeknek 250 g,False,only_in_file2
4062300276581.0,,,HiPP bio kukorica burgonyakrémben pulykahússal bébiétel 5 hónapos kortól 190 g,False,only_in_file2
4062300319820.0,,,HiPP HiPPiS BIO alma-banán-őszibarack keksszel gyümölcskészítmény 1 éves kortól 100 g,False,only_in_file2
4062300321533.0,,,HiPP őszibarack mangó almában bio gyümölcskészítmény bébidesszert 4 hónapos kortól 4 x 100 g (400 g),False,only_in_file2
4062300325050.0,,,HiPP Smoothie eper almában és banánban bio gyümölcskészítmény 1 éves kortól 120 ml,False,only_in_file2
4062300325111.0,,,HiPP Smoothie áfonya almában és körtében bio gyümölcskészítmény 1 éves kortól 120 ml,False,only_in_file2
4062300325197.0,,,HiPP Snackie körte-banán-szőlő zabbal bio gyümölcskészítmény 1 éves kortól 120 g,False,only_in_file2
4062300325227.0,,,"HiPP Snackie mangó banánban narancsban, körtében rizzsel bio gyümölcskészítmény 1 éves kortól 120 g",False,only_in_file2
4062300362246.0,,,HiPP bio müzliszelet roppanós zab almával és őszibarackkal 1 éves kortól 20 g,False,only_in_file2
4062300367715.0,,,HiPP BIO alma-banán-málna müzlis joghurttal 8 hónapos kortól 190 g,False,only_in_file2
4062300375178.0,,,Hipp bio bolognai spagetti mediterrán fűszerekkel 1 éves kortól 250 g,False,only_in_file2
4062300375215.0,,,HiPP bio betűtészta bolognai szósszal 1 éves kortól 250 g,False,only_in_file2
4062300376960.0,,,HiPP BIO almás-áfonyás rizskorong 8 hónapos kortól 30 g,False,only_in_file2
4062300380806.0,,,HiPP bio gyümölcskészítmény banán almában bébidesszert 4 hónapos kortól 4 x 100 g (400 g),False,only_in_file2
4062300386464.0,,,HiPP BIO alma céklával gyümölcs- és zöldségkészítmény bébidesszert 5 hónapos kortól 125 g,False,only_in_file2
4062300390843.0,,,HiPP BIO szilva-alma gyümölcskészítmény bébidesszert 4 hónapos kortól 125 g,False,only_in_file2
4062300390997.0,,,HiPP BIO brokkoli 5 hónapos kortól 125 g,False,only_in_file2
4062300437517.0,,,HiPP bio spagetti paradicsomszószban borsóval és borsófehérjével bébiétel 6 hónapos kortól 190 g,False,only_in_file2
4062300439481.0,,,"HiPP bio zöldségek rizzsel, csicseriborsóval és borsófehérjével bébiétel 8 hónapos kortól 220 g",False,only_in_file2
4062300441309.0,,,HiPP bio gyümölcskészítmény gabonával alma-mangó-eper bébidesszert 6 hónapos kortól 160 g,False,only_in_file2
4062300441316.0,,,HiPP bio gyümölcskészítmény alma mangóval és eperrel bébidesszert 6 hónapos kortól 160 g,False,only_in_file2
4062300441361.0,,,HiPP bio gyümölcskészítmény gabonával alma-áfonya-feketeribizli bébidesszert 8 hónapos kortól 160 g,False,only_in_file2
4062300441422.0,,,HiPP bio gyümölcskészítmény gabonával körte-szilva bébidesszert 6 hónapos kortól 160 g,False,only_in_file2
4062300441576.0,,,HiPP bio gyümölcskészítmény alma eperrel és málnával bébidesszert 5 hónapos kortól 160 g,False,only_in_file2
4062300455887.0,,,"HiPP bio zöldségek lencsével, zöldséggel és rizzsel bébiétel 6 hónapos kortól 190 g",False,only_in_file2
4062300456020.0,,,"HiPP bio makaróni borsóval, zöldségekkel és borsófehérjével bébiétel 8 hónapos kortól 220 g",False,only_in_file2
4062300472426.0,,,HiPP Müzli bio őszibarack-banán almában joghurttal 1 éves kortól 120 g,False,only_in_file2
4062300473522.0,,,HiPP bio mini zabszívek vaníliás vajas keksz 3 éves kortól 40 g,False,only_in_file2
4062300473553.0,,,HiPP bio mini epres-málnás zabszívek 3 éves kortól 40 g,False,only_in_file2
40677743.0,,,"Jägermeister gyógynövény likőr 35% 0,04 l",False,only_in_file2
4101730003555.0,,,"Reber Mozart csokoládé mogyoró pralinéval, pisztácia marcipánnal és marcipánnal töltve 6 db 120 g",False,only_in_file2
42399742.0,,,Jägermeister gyógynövénylikőr 35% 100 ml,False,only_in_file2
4260133233102.0,,,"FruchtBar bio müzliszelet sárgabarackkal, almával és zabpehellyel 12 hónapos kortól 23 g",False,only_in_file2
4260133233201.0,,,"FruchtBar bio müzliszelet gyümölcsökkel eperrel, almával és zabbal 12 hónapos kortól 23 g",False,only_in_file2
4260133234932.0,,,"FruchtBar bio keksz szelet tönköly, málna, eper, alma 8 hónapos kortól 3 x 30 g (90 g)",False,only_in_file2
4740098095927.0,,,"LE COQ Blue Lagoon koktél 4,7% 0,33 l",False,only_in_file2
4740098095965.0,,,"LE COQ Mojito koktél üveg 4,7% 0,33 l",False,only_in_file2
4740098096061.0,,,"LE COQ Pina Colada koktél 4,7% 0,33 l",False,only_in_file2
4751007733137.0,,,"Kaija tonhal zöldség ágyon, olasz módra 185 g",False,only_in_file2
4770047237955.0,,,"Mix szénsavas alkoholos koktél mix vodka & erdei gyümölcs ízesítéssel 4% 0,33 l",False,only_in_file2
4792252917217.0,,,Basilur The island of tea Special fekete tea 25 filter 50 g,False,only_in_file2
4792252917224.0,,,Basilur The island of tea Gold fekete tea 25 filter 50 g,False,only_in_file2
4792252937093.0,,,Basilur Premium Assam fekete tea 25 filter 50 g,False,only_in_file2
4820048617413.0,,,"Maggi PárPerc currys csirkeízű instant tészta 59,2 g",False,only_in_file2
4823077609077.0,,,Roshen Multi Cake kakaós krémmel töltött keksz 180 g,False,only_in_file2
4823077621642.0,,,Roshen Wafers kakaókrémmel kent ostya 72 g,False,only_in_file2
4823077621659.0,,,Roshen Wafers mogyorókrémmel kent ostya 72 g,False,only_in_file2
4823077632082.0,,,Tibi Bubble étcsokoládé 80 g,False,only_in_file2
4823077633034.0,,,Roshen Konafetto kakaós krémmel töltött ostyarúd 140 g,False,only_in_file2
4823077633768.0,,,Tibi tejcsokoládé tejkrémmel és ostyával 90 g,False,only_in_file2
4823077633782.0,,,Tibi tejcsokoládé tejkrémmel és keksszel 100 g,False,only_in_file2
4823077634741.0,,,Roshen Lovita teasütemény epres töltelékkel 168 g,False,only_in_file2
4823077639753.0,,,Roshen Multi Cake keksz eper ízű töltelékkel 180 g,False,only_in_file2
4823077639821.0,,,Tibi tejcsokoládé feketeribizli ízű krémmel 90 g,False,only_in_file2
4823077640087.0,,,Tibi tejcsokoládé crème brûlée ízű krémmel 90 g,False,only_in_file2
5000112683301.0,,,Kinley Purple vegyes gyümölcs ízű szénsavas üdítőital cukorral és édesítőszerekkel 250 ml,False,only_in_file2
5000112687828.0,,,Fanta energiamentes erdei gyümölcsízű szénsavas üdítőital édesítőszerekkel 330 ml,False,only_in_file2
5000112687866.0,,,Fanta energiamentes erdei gyümölcsízű szénsavas üdítőital édesítőszerekkel 500 ml,False,only_in_file2
5000159023283.0,,,M&M's tejcsokoládés drazsé cukorbevonattal 250 g,False,only_in_file2
5000168001142.0,,,McVitie's Digestives teljes kiőrlésű gabonával készült keksz 250 g,False,only_in_file2
5000396008784.0,,,McVities Digestive Original teljeskiőrlésű light keksz 250 g,False,only_in_file2
5010196092142.0,,,Jim Beam Bourbon whiskey 40% 1 l,False,only_in_file2
5010278104572.0,,,"Jim Beam Black Bourbon whiskey 45% 0,7 l",False,only_in_file2
5010338200039.0,,,Blue Dragon édes-savanyú wok szósz 120 g,False,only_in_file2
5010338220730.0,,,Blue Dragon Squeeze fokhagymás édes chili szósz 500 g,False,only_in_file2
5010338302900.0,,,Blue Dragon Sushi gyömbér 145 g,False,only_in_file2
5010494990300.0,,,"Glenmorangie whisky 40% 0,7 l",False,only_in_file2
5011007018931.0,,,"Jameson alkoholos üdítőital Jameson whiskeyből és gyömbérrel ízesített szénsavas italból 5% 0,25 l",False,only_in_file2
5011013934546.0,,,"Baileys sós karamell ízű, ír krémlikőr 17% 700 ml",False,only_in_file2
5012461002597.0,,,"Malibu szénsavas fehér rum-, ananász-, és kókuszlikőr koktél 5% 250 ml",False,only_in_file2
5012461005048.0,,,"Malibu Piña Colada fehér rum, ananász és kókuszlikőr gyümölcslé koktél 5% 250 ml",False,only_in_file2
5014328019960.0,,,Tetley zöld tea matcha-val 20 filter 42 g,False,only_in_file2
5034444101202.0,,,Ma Baker pekándiós óriás-zabszelet 90 g,False,only_in_file2
5034444101219.0,,,Giant Bar pisztáciás óriás zabszelet 90 g,False,only_in_file2
5034444101332.0,,,Giant Bar vörös áfonyás óriás zabszelet 90 g,False,only_in_file2
5034444101714.0,,,Giant Bar csokoládéval bevont óriás zabszelet csokoládédarabokkal 100 g,False,only_in_file2
5053990101580.0,,,Pringles sós és ecetes ízesítésű snack 165 g,False,only_in_file2
5053990106868.0,,,Pringles paprikás ízesítésű snack 165 g,False,only_in_file2
5053990106981.0,,,Pringles Cheesy Cheese sajtos ízesítésű sós snack 165 g,False,only_in_file2
5053990182596.0,,,Pringles Passport Flavours Thai Style zöld curry ízesítésű sós snack 165 g,False,only_in_file2
5053990185764.0,,,Pringles Passport Flavours Japanese Style Stir Fry ízesítésű sós snack 165 g,False,only_in_file2
5060072652236.0,,,Chewits Strawberry olvadó rágó 115 g,False,only_in_file2
5060170800027.0,,,"Jamie Oliver fűszeres olíva, fokhagyma és paradicsom tésztaszósz 400 g",False,only_in_file2
5060170807019.0,,,Jamie Oliver paradicsom és mediterrán zöldséges tésztaszósz 400 g,False,only_in_file2
