store_name,store_product_id,name,brand_name,available,expected_restock,barcode,price,unit_type,unit_step,is_discounted,original_unit_price,secondary_unit_price,secondary_unit_type,secondary_unit_step,image_urls,description,categories
Spar,68d30cacfc07aa8af38efec4,Félbarna kenyér 500 g,,True,,5999555260142.0,549.0,g,500.0,False,,,,,https://imageproxy.wolt.com/assets/689b9811f18c6aaa8030bce4,,kenyerek-27
Spar,66c5880276953f4db0812ef5,Gárdonyi Teaház gyümölcstea válogatás 20 filter 40 g,,True,,5997505321400.0,829.0,g,40.0,False,,,,,https://imageproxy.wolt.com/assets/689b850087a8f04a4a7d9854;https://imageproxy.wolt.com/assets/689b850287a8f04a4a7d985a,,gyumolcsteak-288
Spar,66c5880276953f4db0813155,Gárdonyi Teaház gyümölcstea válogatás 20 filter 40 g,,True,,5997505321608.0,829.0,g,40.0,False,,,,,https://imageproxy.wolt.com/assets/689b850487a8f04a4a7d9860;https://imageproxy.wolt.com/assets/689b850587a8f04a4a7d9865,,gyumolcsteak-288
Spar,66c5880276953f4db08131f2,Hey-Ho almaital 1 l,,True,,9008700179003.0,499.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689ba99f9bbcfa1dc39be0ea;https://imageproxy.wolt.com/assets/689ba9a09bbcfa1dc39be0ed,,szensavmentes-uditoitalok-140
Spar,66c5880276953f4db08131d8,Hey-Ho almaital 1 l,,True,,9008700179102.0,649.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689ba9a287a8f04a4a7dbe33;https://imageproxy.wolt.com/assets/689ba9a387a8f04a4a7dbe36,,szensavmentes-uditoitalok-140
Spar,66c5880276953f4db08131e7,Hey-Ho őszibarackital 1 l,,True,,9008700179027.0,499.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689ba99f9bbcfa1dc39be0ec;https://imageproxy.wolt.com/assets/689ba9a09bbcfa1dc39be0ef,,szensavmentes-uditoitalok-140
Spar,66c5880276953f4db08131e3,Hey-Ho őszibarackital 1 l,,True,,9008700179140.0,649.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689ba9a287a8f04a4a7dbe30;https://imageproxy.wolt.com/assets/689ba9a387a8f04a4a7dbe35,,szensavmentes-uditoitalok-140
Spar,67ad25f31af9fcb37887b46d,Juhász Egri Bikavér száraz vörösbor 13% 750 ml,,True,,5999881815269.0,2199.0,ml,750.0,False,,,,,https://imageproxy.wolt.com/assets/689b9bdcf18c6aaa8030c368;https://imageproxy.wolt.com/assets/689b9bddf18c6aaa8030c36d,,voros-bor-191
Spar,67ad25f31af9fcb37887b436,Juhász Egri Bikavér száraz vörösbor 13% 750 ml,,True,,5999881815740.0,1849.0,ml,750.0,False,,,,,https://imageproxy.wolt.com/assets/689b9be487a8f04a4a7dac94;https://imageproxy.wolt.com/assets/689b9be487a8f04a4a7dac98,,voros-bor-191
Spar,67bf8f6b31caa9252d551b57,"Kinder Meglepetés belső tejes réteggel bevont tejcsokoládé figura, belsejében meglepetéssel 20 g",,True,,40084107.0,449.0,g,20.0,False,,,,,https://imageproxy.wolt.com/assets/689b72e287a8f04a4a7d7b90,,csokolade-105
Spar,67bf8f6b31caa9252d551b53,"Kinder Meglepetés belső tejes réteggel bevont tejcsokoládé figura, belsejében meglepetéssel 20 g",,True,,54088191.0,449.0,g,20.0,False,,,,,https://imageproxy.wolt.com/assets/689b76cb87a8f04a4a7d80c8,,csokolade-105
Spar,66c5880276953f4db081324e,Kühne enyhén csípős mustár 255 g,,True,,4012200222102.0,999.0,g,255.0,False,,,,,https://imageproxy.wolt.com/assets/689bb16b87a8f04a4a7dd354,,ketchup-mustar-majonez-torma-163
Spar,67bf8f6b31caa9252d551a17,Kühne enyhén csípős mustár 255 g,,True,,40122342.0,999.0,g,255.0,False,,,,,https://imageproxy.wolt.com/assets/689bb17087a8f04a4a7dd368,,ketchup-mustar-majonez-torma-163
Spar,66c5880276953f4db0813f3c,"Kőbányai világos sör 4,3% 0,5 l",,True,,5998817313404.0,429.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/689b8dfcf18c6aaa8030af25;https://imageproxy.wolt.com/assets/689b8dfef18c6aaa8030af27,,vilagos-sor-231
Spar,67f43d0e214a30f586bfca59,"Kőbányai világos sör 4,3% 0,5 l",,True,,5998817313442.0,384.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/689b8dfe9bbcfa1dc39bc71d;https://imageproxy.wolt.com/assets/689b8dff9bbcfa1dc39bc721,,vilagos-sor-231
Spar,66c5880276953f4db0813395,Lindt Lindor tejcsokoládé lágyan olvadó töltelékkel 38 g,,True,,4000539397240.0,579.0,g,38.0,False,,,,,https://imageproxy.wolt.com/assets/689b6cd7f18c6aaa80308abe,,csokolade-105
Spar,66544f27584ad684ed53f53e,Lindt Lindor tejcsokoládé lágyan olvadó töltelékkel 38 g,,True,,4000539397585.0,579.0,g,38.0,False,,,,,https://imageproxy.wolt.com/assets/689b71faf18c6aaa80309255,,csokolade-105
Spar,67ad25f31af9fcb37887b707,PICK szeletelt eredeti téliszalámi 70 g,,True,,5998003124043.0,899.0,g,70.0,False,,,db,1.0,https://imageproxy.wolt.com/assets/68d536b935cd665795fd48b6;https://imageproxy.wolt.com/assets/68d536b935cd665795fd48b7,,szalami-242
Spar,67ad25f31af9fcb37887b701,PICK szeletelt eredeti téliszalámi 70 g,,True,,5998003124104.0,899.0,g,70.0,False,,,,,https://imageproxy.wolt.com/assets/689bb61f87a8f04a4a7de26e;https://imageproxy.wolt.com/assets/689bb620f18c6aaa8030d6d1,,szalami-242
Spar,67ad25f31af9fcb37887badb,"Pilsner Urquell minőségi világos sör 4,4% 0,5 l",,True,,8594404023380.0,549.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/689ba47a9bbcfa1dc39bd8a0,,vilagos-sor-231
Spar,66c5880276953f4db0812970,"Pilsner Urquell minőségi világos sör 4,4% 0,5 l",,True,,8594404110110.0,504.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/679a530ba5bbf47476d808e7,,vilagos-sor-231
Spar,66c5880276953f4db081322b,REGNUM szeletelt prágai sonka 100 g,,False,,5999033873536.0,639.0,g,100.0,False,,,,,https://imageproxy.wolt.com/assets/6679393935e1b1789b047351,,sonka-65
Spar,66c5880276953f4db0813230,REGNUM szeletelt prágai sonka 100 g,,True,,5999033899598.0,569.0,g,100.0,False,,,,,https://imageproxy.wolt.com/assets/689b93af87a8f04a4a7da741,,sonka-65
