index,id,name,slug,parent_id,count,child_count,is_leaf,is_fetch_root,path,path_ids,permalink,image_url
150,4573,"ÉTRENDKIEGÉSZÍTŐK, PEZSGŐTABLETTÁK, SPORT",etrendkiegeszitok-pezsgotablettak-sport,4545,13,0,true,false,"ÉLELMISZER > TUDATOS TÁPLÁLKOZÁS > ÉTRENDKIEGÉSZÍTŐK, PEZSGŐTABLETTÁK, SPORT",4483|4545|4573,https://coopshop.hu/termekkategoria/elelmiszer/tudatos-taplalkozas/etrendkiegeszitok-pezsgotablettak-sport/,
151,4578,VENDÉGVÁRÓ,vendegvaro,4483,317,9,false,false,ÉLELMISZER > VENDÉGVÁRÓ,4483|4578,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/,
152,4580,ASZALVÁNYOK,aszalvanyok,4578,24,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > ASZALVÁNYOK,4483|4578|4580,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/aszalvanyok/,
153,4599,CHIPSEK,chipsek,4578,98,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > CHIPSEK,4483|4578|4599,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/chipsek/,
154,4971,KRÉKEREK,krekerek,4578,14,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > KRÉKEREK,4483|4578|4971,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/krekerek/,
155,4818,MAGVAK,magvak,4578,89,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > MAGVAK,4483|4578|4818,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/magvak/,
156,4579,PATTOGATOTT KUKORICA,pattogatott-kukorica,4578,20,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > PATTOGATOTT KUKORICA,4483|4578|4579,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/pattogatott-kukorica/,
157,4978,PUFFASZTOTT SNACK,puffasztott-snack,4578,31,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > PUFFASZTOTT SNACK,4483|4578|4978,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/puffasztott-snack/,
158,5429,SÓS APRÓSÜTEMÉNY,sos-aprosutemeny,4578,2,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > SÓS APRÓSÜTEMÉNY,4483|4578|5429,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/sos-aprosutemeny/,
159,5426,SÓS KEKSZ,sos-keksz,4578,19,0,true,false,ÉLELMISZER > VENDÉGVÁRÓ > SÓS KEKSZ,4483|4578|5426,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/sos-keksz/,
160,4601,"SÓS MIX, PÁLCIKA, PEREC",sos-mix-palcika-perec,4578,20,0,true,false,"ÉLELMISZER > VENDÉGVÁRÓ > SÓS MIX, PÁLCIKA, PEREC",4483|4578|4601,https://coopshop.hu/termekkategoria/elelmiszer/vendegvaro/sos-mix-palcika-perec/,
161,4516,ÉDESSÉG,edesseg,4483,689,10,false,false,ÉLELMISZER > ÉDESSÉG,4483|4516,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/,
162,4552,CSOKOLÁDÉ,csokolade,4516,215,0,true,false,ÉLELMISZER > ÉDESSÉG > CSOKOLÁDÉ,4483|4516|4552,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/csokolade/,
163,4522,CUKORKA,cukorka,4516,98,0,true,false,ÉLELMISZER > ÉDESSÉG > CUKORKA,4483|4516|4522,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/cukorka/,
164,6528,DESSZERTEK,desszertek,4516,82,0,true,false,ÉLELMISZER > ÉDESSÉG > DESSZERTEK,4483|4516|6528,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/desszertek/,
165,4749,DRAZSÉ,drazse,4516,11,0,true,false,ÉLELMISZER > ÉDESSÉG > DRAZSÉ,4483|4516|4749,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/drazse/,
166,4766,NYALÓKÁK,nyalokak,4516,6,0,true,false,ÉLELMISZER > ÉDESSÉG > NYALÓKÁK,4483|4516|4766,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/nyalokak/,
167,4790,OSTYA,ostya,4516,85,0,true,false,ÉLELMISZER > ÉDESSÉG > OSTYA,4483|4516|4790,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/ostya/,
168,4872,PISKÓTA,piskota,4516,29,0,true,false,ÉLELMISZER > ÉDESSÉG > PISKÓTA,4483|4516|4872,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/piskota/,
169,4692,RÁGÓGUMI,ragogumi,4516,30,0,true,false,ÉLELMISZER > ÉDESSÉG > RÁGÓGUMI,4483|4516|4692,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/ragogumi/,
170,4542,SÜTEMÉNY,sutemeny,4516,42,0,true,false,ÉLELMISZER > ÉDESSÉG > SÜTEMÉNY,4483|4516|4542,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/sutemeny/,
171,4686,ÉDES KEKSZ,edes-keksz,4516,91,0,true,false,ÉLELMISZER > ÉDESSÉG > ÉDES KEKSZ,4483|4516|4686,https://coopshop.hu/termekkategoria/elelmiszer/edesseg/edes-keksz/,
