master_product_id,canonical_name,representative_name,primary_barcode,barcodes,barcode_norms,representative_image_url,image_keys,stores_count,stores,offers_count,match_methods,needs_review,review_reason,offer_names,offer_units
MP005825,Fuchs extra sárga tojás L 10 db,Fuchs extra sárga tojás L 10 db,5999882015019,05999882015019;5999882015019,5999882015019,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/0a0a3878-954a-11f0-8ef8-3685142aa628_477322001.jpg,https://digitalcontent.api.tesco.com/v2/media/ghs/60d47c61-c915-4648-9821-3580ba43ae12/86f7edad-4bdf-4eb3-866a-28d960fe7e74.jpeg;https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/0a0a3878-954a-11f0-8ef8-3685142aa628_477322001.jpg,2,Spar;Tesco,2,same_barcode;same_exact_name,true,eltérő_kiszerelési_egység,Fuchs extra sárga tojás L 10 db | Fuchs extra sárga tojás L 10 db,Spar: 720.0 g | Tesco: 10.0 db
MP005985,"Garage Hard Lemon citrom ízesítésű ízesített maláta sör 4,5 400 ml","Garage Hard Lemon citrom ízesítésű ízesített maláta sör 4,5 400 ml",5900014021976,05900014230033;5900014021976,5900014021976;5900014230033,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/32ec69be-f35b-11ef-b83a-a691168120e3_wst_601994005.jpg,https://digitalcontent.api.tesco.com/v2/media/ghs/f5bfb4f7-331e-4ac7-bd44-c89dbf43e560/d4bb9208-7852-4a58-b685-885f6f11a248_910658329.jpeg;https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/32ec69be-f35b-11ef-b83a-a691168120e3_wst_601994005.jpg,2,Spar;Tesco,2,same_exact_name;same_name_core_compatible_pack,true,több_normalizált_vonalkód,"Garage Hard Lemon citrom ízesítésű ízesített maláta sör 4,5 400 ml | Garage Hard Lemon citrom ízesítésű ízesített maláta sör 4,5 400 ml",Spar: 400.0 ml | Tesco: 400.0 ml
MP006236,"Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 4 Darabos Kiszerelés","Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 4 Darabos Kiszerelés",7702018489787,07702018489978;07702018536320;08700216148146;08700216423489;7702018489787;8700216148146,7702018489787;7702018489978;7702018536320;8700216148146;8700216423489,https://imageproxy.wolt.com/assets/69775e82abd519155b8927d5,https://digitalcontent.api.tesco.com/v2/media/ghs/2b50c9a8-27f1-4d95-9a67-1612f37e8650/d60e9c26-bd49-4086-bbf5-96bbc4e87cf7_279994531.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/4bd7c0b0-26ec-4845-aae1-ae3245a52f0f/85e62a89-9f5f-41c6-81aa-f65581369054_10413265.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/7d05772b-6f17-4adf-bd8d-1db2fdb9e6f7/df2d5767-553a-49f7-9c75-b885679cb996_1969410073.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/d821139d-0e67-4804-afe6-a802cb0e4be0/f91738b6-d8d9-4f3e-a6f1-61fe9b078757_44979953.jpeg;https://imageproxy.wolt.com/assets/68dd27eb89477a3512658c8c;https://imageproxy.wolt.com/assets/69775e82abd519155b8927d5,2,Spar;Tesco,6,same_barcode;same_exact_name;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból,"Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 12 Darabos Kiszerelés | Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 4 Darabos Kiszerelés | Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 8 Darabos Kiszerelés | Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 8 Darabos Kiszerelés | Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 12 Darabos Kiszerelés | Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 4 Darabos Kiszerelés",Spar: 1.0 db | Spar: 1.0 db | Tesco: 1.0 db | Tesco: 1.0 db | Tesco: 1.0 db | Tesco: 1.0 db
MP006243,"Gillette Classic Sensitive Borotvahab, Érzékeny Bőrre, 300ml","Gillette Classic Sensitive Borotvahab, Érzékeny Bőrre, 300ml",7702018617234,08006530159142;7702018617234,7702018617234;8006530159142,https://imageproxy.wolt.com/assets/68dbce57e4991e9d3ee08ae7,https://digitalcontent.api.tesco.com/v2/media/ghs/db10146c-7b10-4412-bbfd-a9191bb95a61/737e0eb7-65ea-4d62-980e-5923d1c97b91_430161355.jpeg;https://imageproxy.wolt.com/assets/68dbce57e4991e9d3ee08ae7,2,Spar;Tesco,2,same_name_core_compatible_pack,true,több_normalizált_vonalkód,"Gillette Classic Sensitive Borotvahab, Érzékeny Bőrre, 300ml | Gillette Classic Sensitive Borotvahab, Érzékeny Bőrre, 250 ml",Spar: 300.0 ml | Tesco: 250.0 ml
MP006250,"Gillette Fusion5 Borotvabetétek Férfi Borotvához, 4 Borotvabetétek, 5 Penge, Precíziós Nyíró","Gillette Fusion5 Borotvabetétek Férfi Borotvához, 4 Borotvabetétek, 5 Penge, Precíziós Nyíró",7702018866984,07702018866984;08006540986141;7702018866984,7702018866984;8006540986141,https://imageproxy.wolt.com/assets/68d28c4f78dafc9acabd52be,https://digitalcontent.api.tesco.com/v2/media/ghs/78dcffc6-d000-407a-b536-5a2df66de129/37245991-55e2-4ce2-9f91-acf338d38685_197276636.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/87c25530-7d55-430f-9301-0e78851ef3ec/11d2935e-8a7c-4cf3-b9f0-d8058d1e73fd_357754665.jpeg;https://imageproxy.wolt.com/assets/68d28c4f78dafc9acabd52be,2,Spar;Tesco,3,same_barcode;same_exact_name;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból,"Gillette Fusion5 Borotvabetétek Férfi Borotvához, 4 Borotvabetétek, 5 Penge, Precíziós Nyíró | Gillette Fusion5 Borotvabetétek Férfi Borotvához, 4 Borotvabetétek, 5 Penge, Precíziós Nyíró | Gillette Fusion5 Borotvabetétek Férfi Borotvához, 12 Borotvabetétek, 5 Penge, Precíziós Nyíró",Spar: 1.0 db | Tesco: 1.0 db | Tesco: 1.0 db
MP006251,"Gillette Fusion5 férfi borotva (1 db borotva, 2 db borotvabetét), 1 db","Gillette Fusion5 férfi borotva (1 db borotva, 2 db borotvabetét), 1 db",7702018866946,07702018866946;7702018866946,7702018866946,https://imageproxy.wolt.com/assets/68dbce5ae4991e9d3ee08af0,https://digitalcontent.api.tesco.com/v2/media/ghs/693dcea5-023e-4910-8261-a167524a851b/d13a5c42-a801-4920-87ec-18f22beb8387_1508703379.jpeg;https://imageproxy.wolt.com/assets/68dbce5ae4991e9d3ee08af0,2,Spar;Tesco,2,same_barcode,true,eltérő_kiszerelési_egység,"Gillette Fusion5 férfi borotva (1 db borotva, 2 db borotvabetét), 1 db | Gillette Fusion5 Férfi Borotva, 1 db Gillette 5 Pengés Borotva, Borotvabetétek, Precíziós Nyíró",Spar: 1.0 g | Tesco: 1.0 db
MP006257,"Gillette Mach3 férfi borotva (1 db borotva + 2 db borotvabetét), 1 db","Gillette Mach3 férfi borotva (1 db borotva + 2 db borotvabetét), 1 db",7702018020676,07702018020676;7702018020676,7702018020676,https://imageproxy.wolt.com/assets/68dbce30e4991e9d3ee08ab6,https://digitalcontent.api.tesco.com/v2/media/ghs/b719fa0f-6b33-4eb1-ae8b-daca7235b767/f7ea252d-bc7e-45db-b154-f3268bfee29c_1771816652.jpeg;https://imageproxy.wolt.com/assets/68dbce30e4991e9d3ee08ab6,2,Spar;Tesco,2,same_barcode,true,eltérő_kiszerelési_egység,"Gillette Mach3 férfi borotva (1 db borotva + 2 db borotvabetét), 1 db | Gillette Mach3 Férfi Borotva, 1 db Gillette 3 Pengés Borotva, Gillette Borotvabetétek",Spar: 1.0 g | Tesco: 1.0 db
MP006260,"Gillette Mach3 Férfi Borotvabetétek, 5 Gillette 3 Pengés Borotvabetétek","Gillette Mach3 Férfi Borotvabetétek, 5 Gillette 3 Pengés Borotvabetétek",7702018552313,07702018552313;7702018552313,7702018552313,https://imageproxy.wolt.com/assets/68d3dd9d35cd665795fd17a2,https://digitalcontent.api.tesco.com/v2/media/ghs/6da3bc07-87e2-4164-bde0-086dcc191e2e/b543b421-1e8b-4bea-9854-e40aa06d9ae4_1924325635.jpeg;https://imageproxy.wolt.com/assets/68d3dd9d35cd665795fd17a2,2,Spar;Tesco,2,same_barcode;same_exact_name,true,eltérő_kiszerelési_egység,"Gillette Mach3 Férfi Borotvabetétek, 5 Gillette 3 Pengés Borotvabetétek | Gillette Mach3 Férfi Borotvabetétek, 5 Gillette 3 Pengés Borotvabetétek",Spar: 5.0 g | Tesco: 1.0 db
MP006274,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml","Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",3014260214692,03014260214692;07702018982011;3014260214692;7702018982011,3014260214692;7702018982011,https://imageproxy.wolt.com/assets/6a051f6ba95d72fa52308705,https://digitalcontent.api.tesco.com/v2/media/ghs/3110ac0e-9ac8-442d-8ce0-900928a00f13/3dd94214-6f05-4051-acf4-2a2a04fbc028_1130911608.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/4c97ff9a-7fe2-4f5b-ada2-22b13f48f493/764df288-24b1-4c0e-804f-d80930d2bea5_1059522065.jpeg;https://imageproxy.wolt.com/assets/68d1427abd5756f4002af48f;https://imageproxy.wolt.com/assets/6a051f6ba95d72fa52308705,3,Prima;Spar;Tesco,5,same_barcode;same_exact_name;same_image_key;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból;azonos_kép_eltérő_vonalkód,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml | Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 240ml | Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml | Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 240ml | Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",Spar: 200.0 ml | Spar: 240.0 ml | Prima: 200.0 ml | Tesco: 240.0 ml | Tesco: 200.0 ml
MP006303,Giotto ropogós ostya lágy tejes-mogyorós töltelékkel 2 x 5 db 43 g,Giotto ropogós ostya lágy tejes-mogyorós töltelékkel 2 x 5 db 43 g,8000500319475,08000500319475;8000500319475,8000500319475,https://imageproxy.wolt.com/assets/68a6d488e0d98bc2ee574abd,https://digitalcontent.api.tesco.com/v2/media/ghs/937b85f4-086b-4a1b-81a1-83118cccbb7d/233d9041-4b9d-4796-8021-6c37dee72312_1704955299.jpeg;https://imageproxy.wolt.com/assets/68a6d488e0d98bc2ee574abd,3,Prima;Spar;Tesco,3,same_barcode;same_exact_name;same_image_key,true,eltérő_kiszerelési_egység,Giotto ropogós ostya lágy tejes-mogyorós töltelékkel 2 x 5 db 43 g | Giotto ropogós ostya lágy tejes-mogyorós tölt. 2x5db 43g | Giotto ropogós ostya lágy tejes-mogyorós töltelékkel 2 x 5 db 43 g,Spar: 43.0 g | Prima: 43.0 g | Tesco: 10.0 db
