barcode_norm,spar_names,prima_names
7622202346354,Milka Tuc alpesi tej felhasználásával készült tejcsokoládé sós krékerrel 35 g,Milka Tuc alpesi tejcsokoládé sós krékerrel 35g
7622202346491,Milka LU alpesi tej felhasználásával készült tejcsokoládé ropogós keksszel 35 g,Milka LU alpesi tejcsokoládé ropogós keksszel 35g
7622210180278,Győri Korpovit ropogós keksz teljes kiőrlésű gabonával 174 g,Korpovit keksz 174g
7622210694621,Milka Waffelini alpesi tejcsokoládéval mártott tejes ízű krémmel töltött ostya,Milka Waffelini alpesi tejcsokoládéval mártott tejes ízű krémmel töltött ostya 31 g
8000500319475,Giotto ropogós ostya lágy tejes-mogyorós töltelékkel 2 x 5 db 43 g,Giotto ropogós ostya lágy tejes-mogyorós tölt. 2x5db 43g
8000500447833,Ferrero Rocher Makadámia Prémium táblás tejcsokoládé 90 g,Ferrero Rocher Makadámia Prémium táblás tejcsokoládé 90g
8000500447895,Ferrero Rocher Dark 70% Prémium táblás csokoládé 90 g,Ferrero Rocher Dark 70% Prémium táblás csokoládé 90g
8003490037909,Roberto kenyér teljes kiőrlésű búzaliszttel és olívaolajjal  400 g,Roberto t.kiőrl.búzalisztből készült szel.kenyér olívao.400g
8003490038005,Roberto kenyér durumbúza darával és extraszűz olívaolajjal 400 g,Roberto durumliszttel készült szel.kenyér olívaolajjal 400g
80042556,Mutti darabolt paradicsom 400 g,Mutti darabolt paradicsom 400g
80052043,Tic Tac Mint mentolos ízű cukordrazsé 18 g,Tic Tac mint mentolos ízű cukordrazsé 18g
8076800195057,Barilla Spaghetti szálas durum száraztészta 500 g,Barilla durum száraztészta spaghetti szálas 500g
8076809513678,"Barilla paradicsomszósz bolognai módra, marha-, és sertéshússal 400 g",Barilla paradicsomszósz bolognese húsos 400g
8076809569101,Barilla Basilico paradicsomszósz bazsalikommal 400 g,Barilla paradicsomszósz bazsalikomos 400 g
8424536921455,Floriol Cooking hevíthető olívaolaj sütéshez 500 ml,Floriol kevert olivaolaj 0.5l
8424536921462,Floriol Salads extraszűz olívaolaj salátákhoz és öntetekhez 500 ml,Floriol extra szűz olívaolaj 500ml
8445290859440,"Balaton kakaós tejbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",Balaton ostyaszelet tejcsokoládés 27g
8445290859464,"Balaton kakaós tejbevonómasszával mártott, citromízű krémmel töltött ostya 27 g",Balaton ostyaszelet citromos 27g
8445290860668,"Balaton kakaós étbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",Balaton ostyaszelet étcsokoládés 27g
8445291036192,"Nesquik instant cukrozott kakaóitalpor vitaminokkal, 600 g",Nesquik instant kakaóitalpor 600g
8445291036635,"Nesquik instant cukrozott kakaóitalpor vitaminokkal, 150 g",Nesquik instant kakaóitalpor 150g
