barcode_norm,name_norm,store_product_id_spar,product_name_spar,available_spar,unit_price_num_spar,unit_type_norm_spar,unit_step_num_spar,base_unit_spar,base_price_spar,is_discounted_spar,original_unit_price_spar,categories_spar,image_urls_spar,store_product_id_prima,product_name_prima,available_prima,unit_price_num_prima,unit_type_norm_prima,unit_step_num_prima,base_unit_prima,base_price_prima,is_discounted_prima,original_unit_price_prima,categories_prima,image_urls_prima,price_diff_prima_minus_spar,price_pct_prima_vs_spar,same_package_unit,same_base_unit,base_price_diff_prima_minus_spar,base_price_pct_prima_vs_spar
80053828,monini classico extra szűz olívaolaj 500 ml,39c67f5a6bf8cc4711ce39d1,Monini Classico extra szűz olívaolaj 500 ml,True,5249.0,ml,500.0,Ft/l,10498.0,False,,ecet-olaj-citromle-161,https://imageproxy.wolt.com/assets/689ba065f18c6aaa8030ca65,de7a888c2bee9ee8f62d51eb,Monini Classico extra szűz olívaolaj 500 ml,False,6699.0,ml,500.0,Ft/l,13398.0,False,,olaj-131,https://imageproxy.wolt.com/assets/689ba065f18c6aaa8030ca65,1450.0,27.624309392265197,True,True,2900.0,27.624309392265197
5999139000775,"jim beam bourbon whiskey 40% 0,7 l",b22743d83d5827188d8d47cd,"Jim Beam Bourbon whiskey 40% 0,7 l",True,9499.0,ml,700.0,Ft/l,13570.0,False,,whiskey-241,https://imageproxy.wolt.com/assets/689b95b687a8f04a4a7daaf2,f95c25ac093841482df92de4,"Jim Beam Bourbon whiskey 40% 0,7 l",True,10949.0,ml,700.0,Ft/l,15641.42857142857,False,,whiskey-188,https://imageproxy.wolt.com/assets/689b95b687a8f04a4a7daaf2,1450.0,15.264764712074955,True,True,2071.4285714285706,15.26476471207495
3014260214692,"gillette series nyugtató hatású borotvazselé aloe verával, 200ml",c603df66e2e3b9ee8aeb3877,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",True,1574.0,ml,200.0,Ft/l,7870.0,False,,borotvahab-294,https://imageproxy.wolt.com/assets/6a051f6ba95d72fa52308705,3fcde085679933a9fcffc042,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",True,2999.0,ml,200.0,Ft/l,14995.0,False,,ferfi-kozmetikum-206,https://imageproxy.wolt.com/assets/6a051f6ba95d72fa52308705,1425.0,90.53367217280814,True,True,7125.0,90.53367217280814
5011321336032,"head & shoulders citrus fresh korpásodás elleni sampon, 400ml",8863f4213fe5a145593fb993,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 400ml",True,2624.0,ml,400.0,Ft/l,6560.0,False,,hajsampon-301,https://imageproxy.wolt.com/assets/693c0b3ac70ce4a062fbef3a,cfa924f28128e202cd7c906b,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 400ml",True,3999.0,ml,400.0,Ft/l,9997.5,False,,hajapolas-202,https://imageproxy.wolt.com/assets/693c0b3ac70ce4a062fbef3a,1375.0,52.400914634146346,True,True,3437.5,52.400914634146346
5011321336094,head & shoulders menthol fresh sampon 400ml,e932eeda7ffb6ef27f7289b1,Head & Shoulders Menthol Fresh sampon 400ml,True,2624.0,ml,400.0,Ft/l,6560.0,False,,hajsampon-301,https://imageproxy.wolt.com/assets/68bad880860edfeaf9637509,6325f1d0beecef32dcd0a300,Head & Shoulders Menthol Fresh sampon 400ml,True,3999.0,ml,400.0,Ft/l,9997.5,False,,hajapolas-202,https://imageproxy.wolt.com/assets/68bad880860edfeaf9637509,1375.0,52.400914634146346,True,True,3437.5,52.400914634146346
5099873030189,"jack daniel's tennessee whiskey 40% 0,7 l",3e4b7e7b1471adef0b2e7482,"Jack Daniel's Tennessee whiskey 40% 0,7 l",True,10079.0,ml,700.0,Ft/l,14398.571428571428,False,,whiskey-241,https://imageproxy.wolt.com/assets/69b7e3337c28665a5e59205f,3b36614a8597d87ec26f0d01,"Jack Daniel's Tennessee whiskey 40% 0,7 l",True,11449.0,ml,700.0,Ft/l,16355.714285714284,False,,whiskey-188,https://imageproxy.wolt.com/assets/69b7e3337c28665a5e59205f,1370.0,13.592618315309057,True,True,1957.1428571428569,13.592618315309057
5998829900715,ballantine's finest skót whisky 40% 500 ml,04c093314e864389e54d7f73,Ballantine's Finest skót whisky 40% 500 ml,True,5299.0,ml,500.0,Ft/l,10598.0,False,,whiskey-241,https://imageproxy.wolt.com/assets/689b8f07f18c6aaa8030b1ad,a0742b1044ab1dcb34e1256e,Ballantine's Finest skót whisky 40% 500 ml,True,6649.0,ml,500.0,Ft/l,13298.0,False,,whiskey-188,https://imageproxy.wolt.com/assets/689b8f07f18c6aaa8030b1ad,1350.0,25.476505000943572,True,True,2700.0,25.476505000943572
8006540063330,"head & shoulders classic clean korpásodás elleni sampon, 250ml",0a3f1b5691491c97e3547a33,"Head & Shoulders Classic Clean Korpásodás Elleni Sampon, 250ml",True,1574.0,ml,250.0,Ft/l,6296.0,False,,hajsampon-301,https://imageproxy.wolt.com/assets/69b29cd3649ecdda9f3fe6b5,93ceeac70f6be5cf03fefe8c,"Head & Shoulders Classic Clean Korpásodás Elleni Sampon, 250ml",True,2899.0,ml,250.0,Ft/l,11596.0,False,,hajapolas-202,https://imageproxy.wolt.com/assets/69b29cd3649ecdda9f3fe6b5,1325.0,84.18043202033036,True,True,5300.0,84.18043202033036
8006540063286,"head & shoulders citrus fresh korpásodás elleni sampon, 250ml",2c74a474f3ce2d2421b3a5cd,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 250ml",True,1574.0,ml,250.0,Ft/l,6296.0,False,,hajsampon-301,https://imageproxy.wolt.com/assets/69b3ee527c28665a5e591ef1,9e76c02cbf5e8ce6c165a7fa,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 250ml",True,2899.0,ml,250.0,Ft/l,11596.0,False,,hajapolas-202,https://imageproxy.wolt.com/assets/69b3ee527c28665a5e591ef1,1325.0,84.18043202033036,True,True,5300.0,84.18043202033036
8000420020178,"gancia prosecco száraz olasz habzóbor 11,5% 0,75 l",a6b9cca67dfff7f6b563f09c,"Gancia Prosecco száraz olasz habzóbor 11,5% 0,75 l",True,4524.0,ml,750.0,Ft/l,6032.0,False,,pezsgo-gyongyozo-bor-252,https://imageproxy.wolt.com/assets/68f77d7f991b63c9b819115a;https://imageproxy.wolt.com/assets/68f77d7f991b63c9b819115b,72442c0cd26f9b61b372c134,"Gancia Prosecco száraz olasz habzóbor 11,5% 0,75 l",True,5799.0,ml,750.0,Ft/l,7732.0,False,,gyongyozobor-198,https://imageproxy.wolt.com/assets/68f77d7f991b63c9b819115a;https://imageproxy.wolt.com/assets/68f77d7f991b63c9b819115b,1275.0,28.183023872679048,True,True,1700.0,28.183023872679048
