store_name,store_product_id,product_name,brand_name,available,expected_restock,barcode,unit_price,unit_type,unit_step,is_discounted,original_unit_price,secondary_unit_price,secondary_unit_type,secondary_unit_step,image_urls,description,categories,name_norm,barcode_norm,id_norm,image_first,category_norm,category_base,price_num
Spar,670fdbfca1b61551859c69cd,Akácméz 250 g,,True,,5998150510133,1799.0,g,250.0,False,,,,,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a539,,mez-80,akácméz 250 g,5998150510133,670fdbfca1b61551859c69cd,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a539,mez-80,mez,1799.0
Spar,670fdbfca1b61551859c6fb4,Akácméz 250 g,,True,,5998150512502,1849.0,g,250.0,False,,,,,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a538,,mez-80,akácméz 250 g,5998150512502,670fdbfca1b61551859c6fb4,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a538,mez-80,mez,1849.0
Spar,670fdbfca1b61551859c7c46,Akácméz 900 g,,True,,5998035100244,4699.0,g,900.0,False,,,,,https://imageproxy.wolt.com/assets/689b87bef18c6aaa8030a402,,mez-80,akácméz 900 g,5998035100244,670fdbfca1b61551859c7c46,https://imageproxy.wolt.com/assets/689b87bef18c6aaa8030a402,mez-80,mez,4699.0
Spar,670fdbfca1b61551859c6c87,Akácméz 900 g,,True,,5998150510072,4399.0,g,900.0,False,,,,,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a537,,mez-80,akácméz 900 g,5998150510072,670fdbfca1b61551859c6c87,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a537,mez-80,mez,4399.0
Spar,670fdbfda1b61551859c82b2,"Arany Ászok tradicionális világos sör 4,3% 0,5 l",,True,,5998817312964,439.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/689b8df6f18c6aaa8030af1e,,vilagos-sor-231,"arany ászok tradicionális világos sör 4,3% 0,5 l",5998817312964,670fdbfda1b61551859c82b2,https://imageproxy.wolt.com/assets/689b8df6f18c6aaa8030af1e,vilagos-sor-231,vilagos-sor,439.0
Spar,67f43d94214a30f586c11380,"Arany Ászok tradicionális világos sör 4,3% 0,5 l",,False,,5998817312971,394.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/689b8df4f18c6aaa8030af1a,,vilagos-sor-231,"arany ászok tradicionális világos sör 4,3% 0,5 l",5998817312971,67f43d94214a30f586c11380,https://imageproxy.wolt.com/assets/689b8df4f18c6aaa8030af1a,vilagos-sor-231,vilagos-sor,394.0
Spar,670fdbfda1b61551859c8519,Biopont bio gluténmentes sóspálcika 45 g,,True,,5998858706562,399.0,g,45.0,False,,,,,https://imageproxy.wolt.com/assets/667942257cb0090848aca0e0,,glutenmentes-85,biopont bio gluténmentes sóspálcika 45 g,5998858706562,670fdbfda1b61551859c8519,https://imageproxy.wolt.com/assets/667942257cb0090848aca0e0,glutenmentes-85,glutenmentes,399.0
Spar,670fdbfca1b61551859c76fe,Biopont bio gluténmentes sóspálcika 45 g,,True,,5998858706579,399.0,g,45.0,False,,,,,https://imageproxy.wolt.com/assets/6679420865e31436d80aa919,,glutenmentes-85,biopont bio gluténmentes sóspálcika 45 g,5998858706579,670fdbfca1b61551859c76fe,https://imageproxy.wolt.com/assets/6679420865e31436d80aa919,glutenmentes-85,glutenmentes,399.0
Spar,67ad259dd95b3961e2187e0e,"Borsodi világos sör 4,5% 0,5 l",,True,,59969921,439.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/689b7ff09bbcfa1dc39bc03e;https://imageproxy.wolt.com/assets/689b7ff19bbcfa1dc39bc042,,vilagos-sor-231,"borsodi világos sör 4,5% 0,5 l",59969921,67ad259dd95b3961e2187e0e,https://imageproxy.wolt.com/assets/689b7ff09bbcfa1dc39bc03e,vilagos-sor-231,vilagos-sor,439.0
Spar,670fdbfca1b61551859c6c08,"Borsodi világos sör 4,5% 0,5 l",,True,,5998817520567,414.0,ml,500.0,False,,,,,https://imageproxy.wolt.com/assets/689b8e029bbcfa1dc39bc724;https://imageproxy.wolt.com/assets/689b8e039bbcfa1dc39bc728,,vilagos-sor-231,"borsodi világos sör 4,5% 0,5 l",5998817520567,670fdbfca1b61551859c6c08,https://imageproxy.wolt.com/assets/689b8e029bbcfa1dc39bc724,vilagos-sor-231,vilagos-sor,414.0
