barcode_norm,product_name_old,product_name_new,unit_price_old,unit_price_new,price_diff,price_pct,categories_old,categories_new,available_old,available_new,image_urls_old,image_urls_new
11210000018,Tabasco csípős chilipaprika szósz 60 ml,Tabasco csípős chilipaprika szósz 60 ml,1599.0,1695.0,96.0,6.0037523452157595,paprikakrem-gulyaskrem-165,szoszok-ontetek-6,True,False,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309185,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309185
11210009387,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,1599.0,1695.0,96.0,6.0037523452157595,etelszosz-martas-164,szoszok-ontetek-6,True,True,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309184,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309184
11210697003,Tabasco Sriracha csípős szósz 256 ml,Tabasco Sriracha csípős szósz 256 ml,2159.0,2289.0,130.0,6.021306160259379,etelszosz-martas-164,szoszok-ontetek-6,True,True,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309186,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309186
2003947950016,"SPAR BBQ szeletelt sertés tarja, csont nélkül, hagymás fűszerezésű olajos marinádban","SPAR BBQ szeletelt sertés tarja, csont nélkül, hagymás fűszerezésű olajos marinádban",2398.5,2590.25,191.75,7.994579945799458,sertes-121,hus-3,False,False,https://imageproxy.wolt.com/assets/689b6a0df18c6aaa80308567;https://imageproxy.wolt.com/assets/689b6a0ef18c6aaa8030856b,https://imageproxy.wolt.com/assets/689b6a0df18c6aaa80308567;https://imageproxy.wolt.com/assets/689b6a0ef18c6aaa8030856b
3046920011013,Lindt Excellence extra finom tejcsokoládé 100 g,Lindt Excellence extra finom tejcsokoládé 100 g,1699.0,2309.0,610.0,35.903472630959385,tablas-csokoladek-106,csokolade-175,True,True,https://imageproxy.wolt.com/assets/689b6aaaf18c6aaa80308755,https://imageproxy.wolt.com/assets/689b6aaaf18c6aaa80308755
3046920020640,Lindt Excellence extra étcsokoládé málnával 100 g,Lindt Excellence extra étcsokoládé málnával 100 g,1699.0,2309.0,610.0,35.903472630959385,tablas-csokoladek-106,csokolade-175,True,True,https://imageproxy.wolt.com/assets/689b6d2ef18c6aaa80308bed,https://imageproxy.wolt.com/assets/689b6d2ef18c6aaa80308bed
3046920024136,Lindt Excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,Lindt Excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,1699.0,2309.0,610.0,35.903472630959385,tablas-csokoladek-106,csokolade-175,False,True,https://imageproxy.wolt.com/assets/689bb0cc87a8f04a4a7dd188,https://imageproxy.wolt.com/assets/689bb0cc87a8f04a4a7dd188
3046920028370,Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával 100 g,"Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával, 100 g",1699.0,2309.0,610.0,35.903472630959385,tablas-csokoladek-106,csokolade-175,True,True,https://imageproxy.wolt.com/assets/689b729f87a8f04a4a7d7b1e,https://imageproxy.wolt.com/assets/689b729f87a8f04a4a7d7b1e
3046920029759,Lindt Excellence finom keserű csokoládé 90% 100 g,Lindt Excellence finom keserű csokoládé 90% 100 g,2199.0,2834.0,635.0,28.876762164620285,tablas-csokoladek-106,csokolade-175,True,True,https://imageproxy.wolt.com/assets/689b6aaaf18c6aaa80308757,https://imageproxy.wolt.com/assets/689b6aaaf18c6aaa80308757
3800233070033,"RiceUp! Eat Smart teljes kiőrlésű puffasztott rizs barna rizzsel, chia maggal és quinoával 120 g","RiceUp! Eat Smart teljes kiőrlésű puffasztott rizs barna rizzsel, chia maggal és quinoával 120 g",499.0,539.0,40.0,8.016032064128256,ketszersultek-31,tortilla-pita-ketszersult-85,True,True,https://imageproxy.wolt.com/assets/689b6ae1f18c6aaa803087fd;https://imageproxy.wolt.com/assets/689b6ae2f18c6aaa80308802,https://imageproxy.wolt.com/assets/689b6ae1f18c6aaa803087fd;https://imageproxy.wolt.com/assets/689b6ae2f18c6aaa80308802
