barcode_norm,product_name_old,product_name_new,unit_price_old,unit_price_new,price_diff,price_pct,categories_old,categories_new,available_old,available_new,image_urls_old,image_urls_new
3800020491553,KitKat Double Chocolate kakaós krémmel töltött ropogós ostya tej- és étcsokoládéban 99 g,"KitKat Double Chocolate kakaós krémmel töltött ropogós ostya tej- és étcsokoládéban, 99 g",999.0,1049.0,50.0,5.005005005005005,csokolade-105,csokolade-175,True,True,https://imageproxy.wolt.com/assets/689bb4cd87a8f04a4a7ddede,https://imageproxy.wolt.com/assets/6908a0cf5a64760b23662119
3850104008443,Vegeta ételízesítő 500 g,"Vegeta ételízesítő, 500 g",1549.0,1644.0,95.0,6.132989025177534,etelizesito-leveskocka-102,etelizesito-leveskocka-171,True,True,https://imageproxy.wolt.com/assets/689b6e76f18c6aaa8030906c;https://imageproxy.wolt.com/assets/689b6e77f18c6aaa80309072,https://imageproxy.wolt.com/assets/695fa3e517906cb1450ae9ce
3850104008825,Vegeta ételízesítő 125 g,"Vegeta ételízesítő, 125 g",589.0,624.0,35.0,5.942275042444821,etelizesito-leveskocka-102,etelizesito-leveskocka-171,True,True,https://imageproxy.wolt.com/assets/689b720ef18c6aaa80309279;https://imageproxy.wolt.com/assets/689b720ff18c6aaa8030927e,https://imageproxy.wolt.com/assets/695fa3e417906cb1450ae9cd
3858887585182,"Somersby Raspberry & Lime cider almalé alapú szénsavas alkoholos ital 4,5% 0,33 l","Somersby cider málna és lime ízesítéssel 4.5%, 330 ml",549.0,619.0,70.0,12.750455373406194,cider-236,cider-238,True,True,https://imageproxy.wolt.com/assets/689bb723f18c6aaa8030d943,https://imageproxy.wolt.com/assets/667680d71b708918eb6e8c7b
4001724050445,Dr. Oetker Guseppe gyorsfagyasztott bagett paradicsommal és sajttal 2 x 125 g,Dr. Oetker Guseppe gyorsfagyasztott bagett paradicsommal és sajttal 2 x 125 g (250 g),999.0,1079.0,80.0,8.008008008008009,pekaru-241,pekaru-199,True,True,https://imageproxy.wolt.com/assets/689b79cf87a8f04a4a7d8af2,https://imageproxy.wolt.com/assets/69147e8a43a2bd3cfbf461f5
4005528115218,"Monday Hello Kitty ropogós gyümölcsízű reggeli gabonapelyhek, búzaliszttel és rizsliszttel 311 g","Monday Hello Kitty ropogós gyümölcsízű reggeli gabonapelyhek, búzaliszttel és rizsliszttel, 311 g",2199.0,2334.0,135.0,6.139154160982264,zabpehely-zabkasa-rizskasa-70,zabpehely-zabkasa-rizskasa-131,True,True,https://imageproxy.wolt.com/assets/689b6dd7f18c6aaa80308e21,https://imageproxy.wolt.com/assets/689b6dd7f18c6aaa80308e21
4006067089848,"Eduscho Family őrölt, pörkölt kávé 500 g","Eduscho Family őrölt, pörkölt kávé, 500 g",3899.0,3149.0,-750.0,-19.235701461913308,orolt-kave-282,orolt-kave-136,True,True,https://imageproxy.wolt.com/assets/689b795c87a8f04a4a7d89a4;https://imageproxy.wolt.com/assets/689b795d87a8f04a4a7d89a5,https://imageproxy.wolt.com/assets/67f8a44b800c7a83d5a68037;https://imageproxy.wolt.com/assets/67f8a44c800c7a83d5a6803a
4014400919325,"Nimm2 Soft Fizzy pezsgő hatású, gyümölcs ízű porral töltött gyümölcsös olvadó cukorka 90 g","nimm2 Soft gyümölcsös olvadó cukorka pezsgő hatású porral töltve, vitaminnal 90 g",529.0,574.0,45.0,8.506616257088846,cukorkak-drazsek-108,cukorkak-drazsek-182,True,True,https://imageproxy.wolt.com/assets/689b6b9f87a8f04a4a7d7596,https://imageproxy.wolt.com/assets/69e026a6af51c9ef7754c180
4014500512716,"Zott Jogobella 0% élőflórás, sovány joghurt édesítőszerekkel 150 g",Zott Jogobella laktózmentes élőflórás sovány joghurt édesítőszerekkel 150 g,151.0,151.0,0.0,0.0,izesitett-joghurt-280,laktozmentes-75,True,True,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/f9eac610-9549-11f0-872e-ceab882d6e78_431562009.jpg,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/f9eac610-9549-11f0-872e-ceab882d6e78_431562009.jpg
4023600016338,Dr. Oetker magas fehérjetartalmú csokoládéízű puding édesítőszerekkel 200 g,Dr. Oetker High Protein Puding csokoládé ízű 200 g,599.0,649.0,50.0,8.347245409015025,pudingpor-294,pudingpor-163,True,True,https://imageproxy.wolt.com/assets/689b7172f18c6aaa8030916f,https://imageproxy.wolt.com/assets/6a1973ad94912ed1c3c06496
