product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
Maggi Marhahúsleves-kocka 120 g,Maggi Marhahúsleves-kocka 120 g,8585002484918,8585002485670,different,839.0,884.0,45.0,etelizesito-leveskocka-102,etelizesito-leveskocka-171
Maggi klasszikus bolognai szósz 500 g,Maggi klasszikus bolognai szósz 500 g,7613039380536,8445291410473,different,1339.0,1629.0,290.0,etelszosz-martas-164,etelszosz-martas-225
Maggi zöldfűszeres bolognai szósz 500 g,Maggi zöldfűszeres bolognai szósz 500 g,7613039380994,8445291410428,different,1339.0,1629.0,290.0,etelszosz-martas-164,etelszosz-martas-225
Manner mogyorókrémmel töltött ropogós ostyaszeletek 75 g,Manner mogyorókrémmel töltött ropogós ostyaszeletek 75 g,9000331697024,9000331604275,different,449.0,545.0,96.0,csokolade-105,csokolade-175
Marlenka mézes torta dióval 100 g,Marlenka mézes torta dióval 100 g,8594071650353,8594071653132,different,1239.0,1404.0,165.0,desszert-bonbon-107,sutemeny-178
Monster Energy Full Throttle Zero Sugar szénsavas energiaital koffeinnel 500 ml,Monster Energy Full Throttle Zero Sugar szénsavas energiaital koffeinnel 500 ml,5061013945868,5056784916681,different,669.0,679.0,10.0,energiaital-142,energiaital-204
Monster Rio Punch szénsavas energiaital 500 ml,Monster Rio Punch szénsavas energiaital 500 ml,5056784901090,5056784917466,different,669.0,679.0,10.0,energiaital-142,energiaital-204
Nescafé Classic azonnal oldódó kávé 100 g,Nescafé Classic azonnal oldódó kávé 100 g,5998710981052,5998710980673,different,1799.0,2099.0,300.0,instant-kave-285,instant-kave-139
Nescafé Classic azonnal oldódó kávé 150 g,Nescafé Classic azonnal oldódó kávé 150 g,5998710965052,8445290784315,different,2299.0,2624.0,325.0,instant-kave-285,instant-kave-139
"Nutriversum Flow eper ízesítésű, kollagén-, glicin-, L-arginin, cink ital édesítőszerekkel 500 ml","Nutriversum Flow eper ízesítésű, kollagén-, glicin-, L-arginin, cink ital édesítőszerekkel 500 ml",5999107129996,5999107125493,different,5849.0,6254.0,405.0,egyeb-etrendkiegeszitok-vitaminok-90,egyeb-etrendkiegeszitok-vitaminok-152
"Peroni Nastro Azzurro minőségi világos sör 5% 0,5 l","Peroni Nastro Azzurro minőségi világos sör 5% 0,5 l",5901359154961,5998817313961,different,519.0,574.0,55.0,vilagos-sor-231,vilagos-sor-234
Philadelphia Original sajtos szendvicskrém 200 g,Philadelphia Original sajtos szendvicskrém 200 g,7622210582799,4000339035229,different,1459.0,1579.0,120.0,vajkrem-sajtkrem-korozott-50,vajkrem-sajtkrem-korozott-101
REGNUM szeletelt prágai sonka 100 g,REGNUM szeletelt prágai sonka 100 g,5999033873536,5999033899598,different,639.0,599.0,-40.0,sonka-65,sonka-116
S-Budget sertés darálthús 900 g,S-Budget sertés darálthús 900 g,5999033800402,5999033810241,different,939.0,1900.0,961.0,daralthus-124,sertes-126
"SPAR szeletelt, zsíros, félkemény trappista sajt 125 g","SPAR szeletelt, zsíros, félkemény trappista sajt 125 g",5999139401473,5999033868747,different,432.0,399.0,-33.0,szeletelt-sajtok-40,szeletelt-sajtok-92
Savel P'tit Duc friss egész sárga bébicsirke,Savel P'tit Duc friss egész sárga bébicsirke,3272871012261,8595240500295,different,1504.0,1504.0,0.0,baromfi-119,baromfi-124
Sertésmájkrém 62 g,Sertésmájkrém 62 g,5998304057927,5998305362365,different,289.0,144.0,-145.0,pastetomok-majasok-66,pastetomok-majasok-120
"St. Andrea Napbor Egri Csillag száraz fehérbor 13% 0,75 l","St. Andrea Napbor Egri Csillag száraz fehérbor 13% 0,75 l",5999572695576,5999572695934,different,4549.0,5139.0,590.0,feher-bor-190,feher-bor-249
"St. Hubertus erdei gyógynövénylikőr 33% 0,5 l","St. Hubertus Erdei gyógynövénylikőr 33% 0,5 l",5995099444390,5995099448206,different,4549.0,4984.0,435.0,likor-172,likor-240
"St. Hubertus eredeti gyógynövénylikőr 33% 0,5 l","St. Hubertus Eredeti gyógynövénylikőr 33% 0,5 l",5995099444437,5995099448183,different,4149.0,4774.0,625.0,likor-172,likor-240
