index,name,path,facet_code,facet,parent_path,depth,product_count
1040,Nagy kiszerelés,Italok|Víz|Ízesített víz|Nagy kiszerelés,SXRhbG9rJTdDViVDMyVBRHolN0MlQzMlOER6ZXMlQzMlQUR0ZXR0JTIwdiVDMyVBRHolN0NOYWd5JTIwa2lzemVyZWwlQzMlQTlz,b;SXRhbG9rJTdDViVDMyVBRHolN0MlQzMlOER6ZXMlQzMlQUR0ZXR0JTIwdiVDMyVBRHolN0NOYWd5JTIwa2lzemVyZWwlQzMlQTlz,Italok|Víz|Ízesített víz,3,11
1033,Energiaitalok,Italok|Üdítőitalok|Energia- és sportitalok|Energiaitalok,SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NFbmVyZ2lhLSUyMCVDMyVBOXMlMjBzcG9ydGl0YWxvayU3Q0VuZXJnaWFpdGFsb2s=,b;SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NFbmVyZ2lhLSUyMCVDMyVBOXMlMjBzcG9ydGl0YWxvayU3Q0VuZXJnaWFpdGFsb2s=,Italok|Üdítőitalok|Energia- és sportitalok,3,60
1062,Sportitalok,Italok|Üdítőitalok|Energia- és sportitalok|Sportitalok,SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NFbmVyZ2lhLSUyMCVDMyVBOXMlMjBzcG9ydGl0YWxvayU3Q1Nwb3J0aXRhbG9r,b;SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NFbmVyZ2lhLSUyMCVDMyVBOXMlMjBzcG9ydGl0YWxvayU3Q1Nwb3J0aXRhbG9r,Italok|Üdítőitalok|Energia- és sportitalok,3,30
1126,Kis Kiszerelés,Italok|Üdítőitalok|Jegesteák|Kis Kiszerelés,SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NKZWdlc3RlJUMzJUExayU3Q0tpcyUyMEtpc3plcmVsJUMzJUE5cw==,b;SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NKZWdlc3RlJUMzJUExayU3Q0tpcyUyMEtpc3plcmVsJUMzJUE5cw==,Italok|Üdítőitalok|Jegesteák,3,42
579,Nagy kiszerelés,Italok|Üdítőitalok|Jegesteák|Nagy kiszerelés,SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NKZWdlc3RlJUMzJUExayU3Q05hZ3klMjBraXN6ZXJlbCVDMyVBOXM=,b;SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NKZWdlc3RlJUMzJUExayU3Q05hZ3klMjBraXN6ZXJlbCVDMyVBOXM=,Italok|Üdítőitalok|Jegesteák,3,57
565,Kis Kiszerelés,Italok|Üdítőitalok|Szénsavas üdítőitalok|Kis Kiszerelés,SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NTeiVDMyVBOW5zYXZhcyUyMCVDMyVCQ2QlQzMlQUR0JUM1JTkxaXRhbG9rJTdDS2lzJTIwS2lzemVyZWwlQzMlQTlz,b;SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NTeiVDMyVBOW5zYXZhcyUyMCVDMyVCQ2QlQzMlQUR0JUM1JTkxaXRhbG9rJTdDS2lzJTIwS2lzemVyZWwlQzMlQTlz,Italok|Üdítőitalok|Szénsavas üdítőitalok,3,129
196,Nagy kiszerelés,Italok|Üdítőitalok|Szénsavas üdítőitalok|Nagy kiszerelés,SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NTeiVDMyVBOW5zYXZhcyUyMCVDMyVCQ2QlQzMlQUR0JUM1JTkxaXRhbG9rJTdDTmFneSUyMGtpc3plcmVsJUMzJUE5cw==,b;SXRhbG9rJTdDJUMzJTlDZCVDMyVBRHQlQzUlOTFpdGFsb2slN0NTeiVDMyVBOW5zYXZhcyUyMCVDMyVCQ2QlQzMlQUR0JUM1JTkxaXRhbG9rJTdDTmFneSUyMGtpc3plcmVsJUMzJUE5cw==,Italok|Üdítőitalok|Szénsavas üdítőitalok,3,112
1590,Akvárium,Kisállat|Egyéb kisállat eledelek & kiegészítők|Kisállat eledelek és felszerelések|Akvárium,S2lzJUMzJUExbGxhdCU3Q0VneSVDMyVBOWIlMjBraXMlQzMlQTFsbGF0JTIwZWxlZGVsZWslMjAlMjYlMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0tpcyVDMyVBMWxsYXQlMjBlbGVkZWxlayUyMCVDMyVBOXMlMjBmZWxzemVyZWwlQzMlQTlzZWslN0NBa3YlQzMlQTFyaXVt,b;S2lzJUMzJUExbGxhdCU3Q0VneSVDMyVBOWIlMjBraXMlQzMlQTFsbGF0JTIwZWxlZGVsZWslMjAlMjYlMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0tpcyVDMyVBMWxsYXQlMjBlbGVkZWxlayUyMCVDMyVBOXMlMjBmZWxzemVyZWwlQzMlQTlzZWslN0NBa3YlQzMlQTFyaXVt,Kisállat|Egyéb kisállat eledelek & kiegészítők|Kisállat eledelek és felszerelések,3,7
1581,Madár eledelek,Kisállat|Egyéb kisállat eledelek & kiegészítők|Kisállat eledelek és felszerelések|Madár eledelek,S2lzJUMzJUExbGxhdCU3Q0VneSVDMyVBOWIlMjBraXMlQzMlQTFsbGF0JTIwZWxlZGVsZWslMjAlMjYlMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0tpcyVDMyVBMWxsYXQlMjBlbGVkZWxlayUyMCVDMyVBOXMlMjBmZWxzemVyZWwlQzMlQTlzZWslN0NNYWQlQzMlQTFyJTIwZWxlZGVsZWs=,b;S2lzJUMzJUExbGxhdCU3Q0VneSVDMyVBOWIlMjBraXMlQzMlQTFsbGF0JTIwZWxlZGVsZWslMjAlMjYlMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0tpcyVDMyVBMWxsYXQlMjBlbGVkZWxlayUyMCVDMyVBOXMlMjBmZWxzemVyZWwlQzMlQTlzZWslN0NNYWQlQzMlQTFyJTIwZWxlZGVsZWs=,Kisállat|Egyéb kisállat eledelek & kiegészítők|Kisállat eledelek és felszerelések,3,5
1560,Rágcsáló eledelek,Kisállat|Egyéb kisállat eledelek & kiegészítők|Kisállat eledelek és felszerelések|Rágcsáló eledelek,S2lzJUMzJUExbGxhdCU3Q0VneSVDMyVBOWIlMjBraXMlQzMlQTFsbGF0JTIwZWxlZGVsZWslMjAlMjYlMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0tpcyVDMyVBMWxsYXQlMjBlbGVkZWxlayUyMCVDMyVBOXMlMjBmZWxzemVyZWwlQzMlQTlzZWslN0NSJUMzJUExZ2NzJUMzJUExbCVDMyVCMyUyMGVsZWRlbGVr,b;S2lzJUMzJUExbGxhdCU3Q0VneSVDMyVBOWIlMjBraXMlQzMlQTFsbGF0JTIwZWxlZGVsZWslMjAlMjYlMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0tpcyVDMyVBMWxsYXQlMjBlbGVkZWxlayUyMCVDMyVBOXMlMjBmZWxzemVyZWwlQzMlQTlzZWslN0NSJUMzJUExZ2NzJUMzJUExbCVDMyVCMyUyMGVsZWRlbGVr,Kisállat|Egyéb kisállat eledelek & kiegészítők|Kisállat eledelek és felszerelések,3,13
