store_name,store_product_id,product_name,brand_name,available,expected_restock,barcode,unit_price,unit_type,unit_step,is_discounted,original_unit_price,secondary_unit_price,secondary_unit_type,secondary_unit_step,image_urls,description,categories,name_norm,barcode_norm,id_norm,image_first,category_norm,category_base,price_num
Spar,90eea1a45159faa3c2c9cae3,Gárdonyi Teaház gyümölcstea válogatás 20 filter 40 g,,True,,5997505321608,964.0,g,40.0,False,,,,,https://imageproxy.wolt.com/assets/689b850487a8f04a4a7d9860;https://imageproxy.wolt.com/assets/689b850587a8f04a4a7d9865,,gyumolcstea-142,gárdonyi teaház gyümölcstea válogatás 20 filter 40 g,5997505321608,90eea1a45159faa3c2c9cae3,https://imageproxy.wolt.com/assets/689b850487a8f04a4a7d9860,gyumolcstea-142,gyumolcstea,964.0
Spar,5889aa96cbc0d2992691b30f,Hey-Ho almaital 1 l,,True,,9008700179003,555.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689ba99f9bbcfa1dc39be0ea;https://imageproxy.wolt.com/assets/689ba9a09bbcfa1dc39be0ed,,szensavmentes-uditoitalok-202,hey-ho almaital 1 l,9008700179003,5889aa96cbc0d2992691b30f,https://imageproxy.wolt.com/assets/689ba99f9bbcfa1dc39be0ea,szensavmentes-uditoitalok-202,szensavmentes-uditoitalok,555.0
Spar,8a6679719c6efd19abc58164,Hey-Ho almaital 1 l,,True,,9008700179102,734.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/69e669d5b5846925d4312463;https://imageproxy.wolt.com/assets/69e669d5b5846925d4312464,,szensavmentes-uditoitalok-202,hey-ho almaital 1 l,9008700179102,8a6679719c6efd19abc58164,https://imageproxy.wolt.com/assets/69e669d5b5846925d4312463,szensavmentes-uditoitalok-202,szensavmentes-uditoitalok,734.0
Spar,fb2f3e1f7a756eec3b155536,Hey-Ho őszibarackital 1 l,,True,,9008700179027,555.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689ba99f9bbcfa1dc39be0ec;https://imageproxy.wolt.com/assets/689ba9a09bbcfa1dc39be0ef,,szensavmentes-uditoitalok-202,hey-ho őszibarackital 1 l,9008700179027,fb2f3e1f7a756eec3b155536,https://imageproxy.wolt.com/assets/689ba99f9bbcfa1dc39be0ec,szensavmentes-uditoitalok-202,szensavmentes-uditoitalok,555.0
Spar,f913bd05e2713b32de34e8bb,Hey-Ho őszibarackital 1 l,,True,,9008700179140,734.0,ml,1000.0,False,,,,,https://imageproxy.wolt.com/assets/69e669d7b5846925d431246c;https://imageproxy.wolt.com/assets/69e669d7b5846925d431246d,,szensavmentes-uditoitalok-202,hey-ho őszibarackital 1 l,9008700179140,f913bd05e2713b32de34e8bb,https://imageproxy.wolt.com/assets/69e669d7b5846925d431246c,szensavmentes-uditoitalok-202,szensavmentes-uditoitalok,734.0
Spar,2ee9e7891bdb7247c3c05727,Juhász Egri Bikavér száraz vörösbor 13% 750 ml,,True,,5999881815269,2699.0,ml,750.0,False,,,,,https://imageproxy.wolt.com/assets/689b9bdcf18c6aaa8030c368;https://imageproxy.wolt.com/assets/689b9bddf18c6aaa8030c36d,,voros-bor-250,juhász egri bikavér száraz vörösbor 13% 750 ml,5999881815269,2ee9e7891bdb7247c3c05727,https://imageproxy.wolt.com/assets/689b9bdcf18c6aaa8030c368,voros-bor-250,voros-bor,2699.0
Spar,825e077066f8f5a6cf796a45,Juhász Egri Bikavér száraz vörösbor 13% 750 ml,,True,,5999881815740,2064.0,ml,750.0,False,,,,,https://imageproxy.wolt.com/assets/689b9be487a8f04a4a7dac94;https://imageproxy.wolt.com/assets/689b9be487a8f04a4a7dac98,,voros-bor-250,juhász egri bikavér száraz vörösbor 13% 750 ml,5999881815740,825e077066f8f5a6cf796a45,https://imageproxy.wolt.com/assets/689b9be487a8f04a4a7dac94,voros-bor-250,voros-bor,2064.0
Spar,835cc2e93a47b23e6fc5b834,Lovely toalettpapír 3 rétegű 10 tekercs,,True,,5999033891738,1469.0,g,1020.0,False,,,db,1.0,https://imageproxy.wolt.com/assets/689b928e87a8f04a4a7da468;https://imageproxy.wolt.com/assets/689b928f87a8f04a4a7da46d,,intim-higienia-306,lovely toalettpapír 3 rétegű 10 tekercs,5999033891738,835cc2e93a47b23e6fc5b834,https://imageproxy.wolt.com/assets/689b928e87a8f04a4a7da468,intim-higienia-306,intim-higienia,1469.0
Spar,d61b23a631fb04ed9d5fa01e,Lovely toalettpapír 3 rétegű 10 tekercs,,True,,5999033891752,1679.0,g,1010.0,False,,,db,1.0,https://imageproxy.wolt.com/assets/689b928d87a8f04a4a7da467;https://imageproxy.wolt.com/assets/689b928f87a8f04a4a7da46c,,toalettpapir-270,lovely toalettpapír 3 rétegű 10 tekercs,5999033891752,d61b23a631fb04ed9d5fa01e,https://imageproxy.wolt.com/assets/689b928d87a8f04a4a7da467,toalettpapir-270,toalettpapir,1679.0
Spar,1960f2bf2e6b98968212c332,Lovely toalettpapír 3 rétegű 4 tekercs,,True,,5999033871587,674.0,g,335.0,False,,,db,1.0,https://imageproxy.wolt.com/assets/689b9009f18c6aaa8030b36b;https://imageproxy.wolt.com/assets/689b900af18c6aaa8030b36f,,toalettpapir-270,lovely toalettpapír 3 rétegű 4 tekercs,5999033871587,1960f2bf2e6b98968212c332,https://imageproxy.wolt.com/assets/689b9009f18c6aaa8030b36b,toalettpapir-270,toalettpapir,674.0
