key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Tesco_product_name,Spar_barcode,Tesco_barcode,Spar_unit_price,Tesco_unit_price,Spar_unit_type,Tesco_unit_type,Spar_unit_step,Tesco_unit_step,Spar_base_price,Tesco_base_price,Spar_categories,Tesco_categories
5900247001202|bords eve natúr - csökkentett zsírtartalmú margarin 500 g,kg,-100.0,-7.622,Bords Eve Natúr - csökkentett zsírtartalmú margarin 500 g,Bords Eve Natúr - csökkentett zsírtartalmú margarin 500 g,5900247001202,05900247001202,656.0,606.0,g,g,500.0,500.0,1312.0,1212.0,vaj-margarin-100,"Tejtermék-tojás|Vaj, margarin|Margarin|Csészés margarin"
5900259087164|cheetos spirals sajtos és ketchupos ízesítésű kukoricasnack 30 g,kg,-1133.333,-7.407,Cheetos Spirals sajtos és ketchupos ízesítésű kukoricasnack 30 g,Cheetos Spirals sajtos és ketchupos ízesítésű kukoricasnack 30 g,5900259087164,05900259087164,459.0,425.0,g,g,30.0,30.0,15300.0,14166.667,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Puffasztott snackek és krékerek"
5900259109033|lay's újhagymás ízű burgonyachips 60 g,kg,-766.667,-7.36,Lay's újhagymás ízű burgonyachips 60 g,Lay's újhagymás ízű burgonyachips 60 g,5900259109033,05900259109033,625.0,579.0,g,g,60.0,60.0,10416.667,9650.0,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259109071|lay's sózott burgonyachips 60 g,kg,-766.667,-7.36,Lay's sózott burgonyachips 60 g,Lay's sózott burgonyachips 60 g,5900259109071,05900259109071,625.0,579.0,g,g,60.0,60.0,10416.667,9650.0,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259113917|lay's tejfölös-zöldfűszeres ízű burgonyachips 60 g,kg,-766.667,-7.36,Lay's tejfölös-zöldfűszeres ízű burgonyachips 60 g,Lay's tejfölös-zöldfűszeres ízű burgonyachips 60 g,5900259113917,05900259113917,625.0,579.0,g,g,60.0,60.0,10416.667,9650.0,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259113948|lay's sajtos ízű burgonyachips 60 g,kg,-766.667,-7.36,Lay's sajtos ízű burgonyachips 60 g,Lay's sajtos ízű burgonyachips 60 g,5900259113948,05900259113948,625.0,579.0,g,g,60.0,60.0,10416.667,9650.0,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259127600|lay's sózott burgonyachips 130 g,kg,-615.385,-7.7,Lay's sózott burgonyachips 130 g,Lay's sózott burgonyachips 130 g,5900259127600,05900259127600,1039.0,959.0,g,g,130.0,130.0,7992.308,7376.923,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259127778|lay's strong csípőspaprika- és limeízű burgonyachips 120 g,kg,-666.667,-7.7,Lay's Strong csípőspaprika- és limeízű burgonyachips 120 g,Lay's Strong csípőspaprika- és limeízű burgonyachips 120 g,5900259127778,05900259127778,1039.0,959.0,g,g,120.0,120.0,8658.333,7991.667,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259128409|lay's tejfölös-zöldfűszeres ízű burgonyachips 130 g,kg,-615.385,-7.7,Lay's tejfölös-zöldfűszeres ízű burgonyachips 130 g,Lay's tejfölös-zöldfűszeres ízű burgonyachips 130 g,5900259128409,05900259128409,1039.0,959.0,g,g,130.0,130.0,7992.308,7376.923,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259128492|lay's max strong burgonyachips csípős húsos jellegű ízesítéssel 120 g,kg,-666.667,-7.7,Lay's Max Strong burgonyachips csípős húsos jellegű ízesítéssel 120 g,Lay's Max Strong burgonyachips csípős húsos jellegű ízesítéssel 120 g,5900259128492,05900259128492,1039.0,959.0,g,g,120.0,120.0,8658.333,7991.667,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259128843|lay's kemencében sütött joghurtos-zöldfűszeres ízesítésű burgonyachips 110 g,kg,-727.273,-7.7,Lay's kemencében sütött joghurtos-zöldfűszeres ízesítésű burgonyachips 110 g,Lay's kemencében sütött joghurtos-zöldfűszeres ízesítésű burgonyachips 110 g,5900259128843,05900259128843,1039.0,959.0,g,g,110.0,110.0,9445.455,8718.182,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259130686|lay's burgonyachips bbq borda jellegű ízesítéssel 130 g,kg,-615.385,-7.7,Lay's burgonyachips BBQ borda jellegű ízesítéssel 130 g,Lay's burgonyachips BBQ borda jellegű ízesítéssel 130 g,5900259130686,05900259130686,1039.0,959.0,g,g,130.0,130.0,7992.308,7376.923,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259130693|lay's sajtos ízű burgonyachips 130 g,kg,-615.385,-7.7,Lay's sajtos ízű burgonyachips 130 g,Lay's sajtos ízű burgonyachips 130 g,5900259130693,05900259130693,1039.0,959.0,g,g,130.0,130.0,7992.308,7376.923,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
"5900259130709|lay's pikáns, paprikás ízű burgonyachips 130 g",kg,-615.385,-7.7,"Lay's pikáns, paprikás ízű burgonyachips 130 g","Lay's pikáns, paprikás ízű burgonyachips 130 g",5900259130709,05900259130709,1039.0,959.0,g,g,130.0,130.0,7992.308,7376.923,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Burgonyachips"
5900259353276|cheetos ketchupos ízesítésű kukoricasnack 85 g,kg,-588.235,-7.474,Cheetos ketchupos ízesítésű kukoricasnack 85 g,Cheetos ketchupos ízesítésű kukoricasnack 85 g,5900259353276,05900259353276,669.0,619.0,g,g,85.0,85.0,7870.588,7282.353,chips-extrudalt-termekek-188,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Chips és burgonyaszirom|Puffasztott snackek és krékerek"
5900273113191|colgate zig zag közepes fogkefe 2 db,db,-80.0,-19.07,Colgate Zig Zag közepes fogkefe 2 db,Colgate Zig Zag közepes fogkefe 2 db,5900273113191,05900273113191,839.0,679.0,db,db,2.0,2.0,419.5,339.5,fogkefe-298,Drogéria|Szájápolás|Fogkefék|Fogkefék
5900273472908|ajax flower fiesta lagoon flowers türkiz általános tisztítószer 1000 ml,l,5.0,0.547,Ajax Flower Fiesta Lagoon Flowers Türkiz általános tisztítószer 1000 ml,Ajax Flower Fiesta Lagoon Flowers Türkiz általános tisztítószer 1000 ml,5900273472908,05900273472908,914.0,919.0,ml,ml,1000.0,1000.0,914.0,919.0,altalanos-tisztitoszer-273,"Háztartás|Tisztítószerek, takarítóeszközök|Általános tisztítószerek|Általános tisztítószerek"
5900273472939|ajax flower fiesta tavaszi virágok zöld általános tisztítószer 1000 ml,l,5.0,0.547,Ajax Flower Fiesta Tavaszi virágok Zöld általános tisztítószer 1000 ml,Ajax Flower Fiesta Tavaszi virágok Zöld általános tisztítószer 1000 ml,5900273472939,05900273472939,914.0,919.0,ml,ml,1000.0,1000.0,914.0,919.0,altalanos-tisztitoszer-273,"Háztartás|Tisztítószerek, takarítóeszközök|Általános tisztítószerek|Általános tisztítószerek"
5900273472984|ajax flower fiesta pipacs piros általános tisztítószer 1000 ml,l,5.0,0.547,Ajax Flower Fiesta Pipacs Piros általános tisztítószer 1000 ml,Ajax Flower Fiesta Pipacs Piros általános tisztítószer 1000 ml,5900273472984,05900273472984,914.0,919.0,ml,ml,1000.0,1000.0,914.0,919.0,altalanos-tisztitoszer-273,"Háztartás|Tisztítószerek, takarítóeszközök|Általános tisztítószerek|Általános tisztítószerek"
59002734|rexona invisible izzadásgátló stift 50 ml,l,-7600.0,-30.183,Rexona Invisible izzadásgátló stift 50 ml,Rexona Invisible izzadásgátló stift 50 ml,59002734,00000059002734,1259.0,879.0,ml,ml,50.0,50.0,25180.0,17580.0,golyos-stift-dezodor-291,"Drogéria|Női dezodorok|Izzadásgátló stiftek, dezodorok, golyós dezodorok|Izzadásgátló stiftek, dezodorok, golyós dezodorok"
5900300056002|signal family care herbal fresh fogkrém 75 ml,l,866.667,12.405,Signal Family Care Herbal Fresh fogkrém 75 ml,Signal Family Care Herbal Fresh fogkrém 75 ml,5900300056002,05900300056002,524.0,589.0,ml,ml,75.0,75.0,6986.667,7853.333,fogkrem-299,Drogéria|Szájápolás|Fogkrémek|Fogkrémek
5900300804511|signal white system original fogkrém 75 ml,l,2133.333,19.07,Signal White System Original fogkrém 75 ml,Signal White System Original fogkrém 75 ml,5900300804511,05900300804511,839.0,999.0,ml,ml,75.0,75.0,11186.667,13320.0,fogkrem-299,Drogéria|Szájápolás|Fogkrémek|Fogkrémek
5900300856794|signal family care daily white fogkrém 75 ml,l,866.667,12.405,Signal Family Care Daily White fogkrém 75 ml,Signal Family Care Daily White fogkrém 75 ml,5900300856794,05900300856794,524.0,589.0,ml,ml,75.0,75.0,6986.667,7853.333,fogkrem-299,Drogéria|Szájápolás|Fogkrémek|Fogkrémek
5900334001047|topjoy fruits of the world alma-lime-kaktusz ital 1 l,l,25.0,3.23,Topjoy Fruits of the World alma-lime-kaktusz ital 1 l,Topjoy Fruits of the World alma-lime-kaktusz ital 1 l,5900334001047,05900334001047,774.0,799.0,ml,ml,1000.0,1000.0,774.0,799.0,szensavmentes-uditoitalok-202,Italok|Gyümölcs és zöldséglevek|Gyümölcs nektárok és egyéb gyümölcsitalok|Gyümölcs nektárok és egyéb gyümölcsitalok
5900334007780|topjoy fruits of the world mangó-alma-narancs-citrom ital 1 l,l,25.0,3.23,Topjoy Fruits of the World mangó-alma-narancs-citrom ital 1 l,Topjoy Fruits of the World mangó-alma-narancs-citrom ital 1 l,5900334007780,05900334007780,774.0,799.0,ml,ml,1000.0,1000.0,774.0,799.0,szensavmentes-uditoitalok-202,Italok|Gyümölcs és zöldséglevek|Gyümölcs nektárok és egyéb gyümölcsitalok|Gyümölcs nektárok és egyéb gyümölcsitalok
5900334013941|topjoy szénsavmentes alma-őszibarack-eper ital hozzáadott vitaminokkal 200 ml,l,-45.0,-4.018,Topjoy szénsavmentes alma-őszibarack-eper ital hozzáadott vitaminokkal 200 ml,Topjoy szénsavmentes alma-őszibarack-eper ital hozzáadott vitaminokkal 200 ml,5900334013941,05900334013941,224.0,215.0,ml,ml,200.0,200.0,1120.0,1075.0,gyumolcslevek-205,Italok|Gyümölcs és zöldséglevek|Gyerek italok|Gyerek italok
5900334013958|topjoy szénsavmentes alma-feketeberkenye-meggy-erdei szamóca ital hozzáadott vitaminokkal 200 ml,l,-45.0,-4.018,Topjoy szénsavmentes alma-feketeberkenye-meggy-erdei szamóca ital hozzáadott vitaminokkal 200 ml,Topjoy szénsavmentes alma-feketeberkenye-meggy-erdei szamóca ital hozzáadott vitaminokkal 200 ml,5900334013958,05900334013958,224.0,215.0,ml,ml,200.0,200.0,1120.0,1075.0,gyumolcslevek-205,Italok|Gyümölcs és zöldséglevek|Gyerek italok|Gyerek italok
5900334013965|topjoy szénsavmentes narancs-alma-őszibarack-citrom ital hozzáadott vitaminokkal 200 ml,l,-45.0,-4.018,Topjoy szénsavmentes narancs-alma-őszibarack-citrom ital hozzáadott vitaminokkal 200 ml,Topjoy szénsavmentes narancs-alma-őszibarack-citrom ital hozzáadott vitaminokkal 200 ml,5900334013965,05900334013965,224.0,215.0,ml,ml,200.0,200.0,1120.0,1075.0,gyumolcslevek-205,Italok|Gyümölcs és zöldséglevek|Gyerek italok|Gyerek italok
5900396016164|loyd málna és eper ízű filteres gyümölcstea 20 filter 40 g,kg,-625.0,-3.149,Loyd málna és eper ízű filteres gyümölcstea 20 filter 40 g,Loyd málna és eper ízű filteres gyümölcstea 20 filter 40 g,5900396016164,05900396016164,794.0,769.0,g,g,40.0,40.0,19850.0,19225.0,gyumolcstea-142,Italok|Tea|Gyümölcsteák|Gyümölcsteák
5900396016171|loyd fekete áfonya és szeder ízű filteres gyümölcstea 20 filter 40 g,kg,-625.0,-3.149,Loyd fekete áfonya és szeder ízű filteres gyümölcstea 20 filter 40 g,Loyd fekete áfonya és szeder ízű filteres gyümölcstea 20 filter 40 g,5900396016171,05900396016171,794.0,769.0,g,g,40.0,40.0,19850.0,19225.0,fekete-tea-140,Italok|Tea|Gyümölcsteák|Gyümölcsteák
5900396022455|loyd erdei gyümölcs ízű filteres tea 20 filter 40 g,kg,-625.0,-3.149,Loyd erdei gyümölcs ízű filteres tea 20 filter 40 g,Loyd erdei gyümölcs ízű filteres tea 20 filter 40 g,5900396022455,05900396022455,794.0,769.0,g,g,40.0,40.0,19850.0,19225.0,gyumolcstea-142,Italok|Tea|Gyümölcsteák|Gyümölcsteák
5900437005119|dr. oetker guseppe gyorsfagyasztott pizza sonkával 410 g,kg,-575.61,-12.861,Dr. Oetker Guseppe gyorsfagyasztott pizza sonkával 410 g,Dr. Oetker Guseppe gyorsfagyasztott pizza sonkával 410 g,5900437005119,05900437005119,1835.0,1599.0,g,g,410.0,410.0,4475.61,3900.0,pizzak-196,Mélyhűtött|Fagyasztott pizza és péktermék|Vastagtésztás pizzák|Vastagtésztás pizzák
5900437005157|dr. oetker guseppe gyorsfagyasztott pizza szalámival 380 g,kg,-342.105,-7.519,Dr. Oetker Guseppe gyorsfagyasztott pizza szalámival 380 g,Dr. Oetker Guseppe gyorsfagyasztott pizza szalámival 380 g,5900437005157,05900437005157,1729.0,1599.0,g,g,380.0,380.0,4550.0,4207.895,pizzak-196,Mélyhűtött|Fagyasztott pizza és péktermék|Vastagtésztás pizzák|Vastagtésztás pizzák
5900437007137|dr. oetker feliciana gyorsfagyasztott négysajtos pizza 325 g,kg,-400.0,-7.519,Dr. Oetker Feliciana gyorsfagyasztott négysajtos pizza 325 g,Dr. Oetker Feliciana gyorsfagyasztott négysajtos pizza 325 g,5900437007137,05900437007137,1729.0,1599.0,g,g,325.0,325.0,5320.0,4920.0,pizzak-196,Mélyhűtött|Fagyasztott pizza és péktermék|Vékonytésztás pizzák|Vékonytésztás pizzák
5900437007151|dr. oetker feliciana gyorsfagyasztott pizza szalámival és chorizo szalámival 320 g,kg,-406.25,-7.519,Dr. Oetker Feliciana gyorsfagyasztott pizza szalámival és chorizo szalámival 320 g,Dr. Oetker Feliciana gyorsfagyasztott pizza szalámival és chorizo szalámival 320 g,5900437007151,05900437007151,1729.0,1599.0,g,g,320.0,320.0,5403.125,4996.875,pizzak-196,Mélyhűtött|Fagyasztott pizza és péktermék|Vékonytésztás pizzák|Vékonytésztás pizzák
59004783|rexona aloe vera scent izzadásgátló stift 50 ml,l,-7600.0,-30.183,Rexona Aloe Vera Scent izzadásgátló stift 50 ml,Rexona Aloe Vera Scent izzadásgátló stift 50 ml,59004783,00000059004783,1259.0,879.0,ml,ml,50.0,50.0,25180.0,17580.0,golyos-stift-dezodor-291,"Drogéria|Női dezodorok|Izzadásgátló stiftek, dezodorok, golyós dezodorok|Izzadásgátló stiftek, dezodorok, golyós dezodorok"
5900498028195|ludwik mosogatószer aloe vera balzsam 1350 g,kg,155.556,20.019,LUDWIK mosogatószer Aloe Vera balzsam 1350 g,LUDWIK mosogatószer Aloe Vera balzsam 1350 g,5900498028195,05900498028195,1049.0,1259.0,g,g,1350.0,1350.0,777.037,932.593,mosogatoszerek-267,Háztartás|Mosogatáshoz|Kézi mosogatás|Mosogatószerek
5900498028881|ludwik mosogatószer citrom 1350 g,kg,155.556,20.019,LUDWIK mosogatószer citrom 1350 g,LUDWIK mosogatószer citrom 1350 g,5900498028881,05900498028881,1049.0,1259.0,g,g,1350.0,1350.0,777.037,932.593,mosogatoszerek-267,Háztartás|Mosogatáshoz|Kézi mosogatás|Mosogatószerek
5900536349237|luksja creamy & soft relaxáló hatású folyékony szappan utántöltő jázminnal és vaníliával 900 ml,l,-94.444,-9.199,Luksja Creamy & Soft relaxáló hatású folyékony szappan utántöltő jázminnal és vaníliával 900 ml,Luksja Creamy & Soft relaxáló hatású folyékony szappan utántöltő jázminnal és vaníliával 900 ml,5900536349237,05900536349237,924.0,839.0,ml,ml,900.0,900.0,1026.667,932.222,szappanok-307,"Drogéria|Fürdés, kézmosás|Folyékony szappanok|Folyékony szappanok"
5900536349244|luksja creamy & soft energizáló folyékony szappan utántöltő barackkal és fehér teával 900 ml,l,-94.444,-9.199,Luksja Creamy & Soft energizáló folyékony szappan utántöltő barackkal és fehér teával 900 ml,Luksja Creamy & Soft energizáló folyékony szappan utántöltő barackkal és fehér teával 900 ml,5900536349244,05900536349244,924.0,839.0,ml,ml,900.0,900.0,1026.667,932.222,szappanok-307,"Drogéria|Fürdés, kézmosás|Folyékony szappanok|Folyékony szappanok"
5900536352091|fino alumínium fólia 30 m,db,0.0,0.0,Fino alumínium fólia 30 m,Fino alumínium fólia 30 m,5900536352091,05900536352091,1889.0,1889.0,db,db,1.0,1.0,1889.0,1889.0,sutopapir-alufolia-folpack-276,Háztartás|Konyhai kellékek és szemeteszsákok|Fóliák és sütőpapírok|Alufóliák
5900627052985|dettol pumpás folyékony szappan aloe vera és bambusz illattal 250 ml,l,-320.0,-8.008,Dettol pumpás folyékony szappan aloe vera és bambusz illattal 250 ml,Dettol pumpás folyékony szappan aloe vera és bambusz illattal 250 ml,5900627052985,05900627052985,999.0,919.0,ml,ml,250.0,250.0,3996.0,3676.0,szappanok-307,"Drogéria|Fürdés, kézmosás|Folyékony szappanok|Folyékony szappanok"
5900627081152|cillit bang expert fürdőszobai ragyogás spray 750 ml,l,-506.667,-22.633,Cillit Bang Expert Fürdőszobai Ragyogás spray 750 ml,Cillit Bang Expert Fürdőszobai Ragyogás spray 750 ml,5900627081152,05900627081152,1679.0,1299.0,ml,ml,750.0,750.0,2238.667,1732.0,furdoszobai-tisztitoszer-275,"Háztartás|Tisztítószerek, takarítóeszközök|Fürdőszobai tisztítószerek|Fürdőszobai tisztítószerek"
5900627096095|dettol mézes érintés nélküli kézmosó készülék utántöltő 250 ml,l,1160.0,23.987,Dettol Mézes érintés nélküli kézmosó készülék utántöltő 250 ml,Dettol Mézes érintés nélküli kézmosó készülék utántöltő 250 ml,5900627096095,05900627096095,1209.0,1499.0,ml,ml,250.0,250.0,4836.0,5996.0,szappanok-307,"Drogéria|Fürdés, kézmosás|Folyékony szappanok|Folyékony szappanok"
5900627117783|dettol erdei gyümölcsös érintés nélküli kézmosó készülék utántöltő 250 ml,l,960.0,19.851,Dettol Erdei Gyümölcsös érintés nélküli kézmosó készülék utántöltő 250 ml,Dettol Erdei Gyümölcsös érintés nélküli kézmosó készülék utántöltő 250 ml,5900627117783,05900627117783,1209.0,1449.0,ml,ml,250.0,250.0,4836.0,5796.0,szappanok-307,"Drogéria|Fürdés, kézmosás|Folyékony szappanok|Folyékony szappanok"
5900649011052|mokate 3in1 classic azonnal oldódó kávéspecialitás 10 x 17 g (170 g),kg,-29.412,-0.535,Mokate 3in1 Classic azonnal oldódó kávéspecialitás 10 x 17 g (170 g),Mokate 3in1 Classic azonnal oldódó kávéspecialitás 10 x 17 g (170 g),5900649011052,05900649011052,934.0,929.0,g,g,170.0,170.0,5494.118,5464.706,instant-kave-139,Italok|Kávé|2in1/3in1 kávé|Klasszikus
5900649011113|mokate 3in1 classic azonnal oldódó kávéspecialitás 24 x 17 g (408 g),kg,-134.804,-3.083,Mokate 3in1 Classic azonnal oldódó kávéspecialitás 24 x 17 g (408 g),Mokate 3in1 Classic azonnal oldódó kávéspecialitás 24 x 17 g (408 g),5900649011113,05900649011113,1784.0,1729.0,g,g,408.0,408.0,4372.549,4237.745,instant-kave-139,Italok|Kávé|2in1/3in1 kávé|Klasszikus
5900649058187|mokate 2in1 classic azonnal oldódó kávéspecialitás 24 x 14 g (336 g),kg,-74.405,-1.401,Mokate 2in1 Classic azonnal oldódó kávéspecialitás 24 x 14 g (336 g),Mokate 2in1 Classic azonnal oldódó kávéspecialitás 24 x 14 g (336 g),5900649058187,05900649058187,1784.0,1759.0,g,g,336.0,336.0,5309.524,5235.119,instant-kave-139,Italok|Kávé|2in1/3in1 kávé|2in1
5900649064683|mokate 3in1 azonnal oldódó kávéspecialitás irish cream likőr ízesítéssel 10 x 17 g (170 g),kg,-29.412,-0.535,Mokate 3in1 azonnal oldódó kávéspecialitás Irish Cream likőr ízesítéssel 10 x 17 g (170 g),Mokate 3in1 azonnal oldódó kávéspecialitás Irish Cream likőr ízesítéssel 10 x 17 g (170 g),5900649064683,05900649064683,934.0,929.0,g,g,170.0,170.0,5494.118,5464.706,instant-kave-139,Italok|Kávé|2in1/3in1 kávé|Ízesített
5900700121690|nogger pálcikás jégkrém karamell 90 ml,l,-1000.0,-15.28,Nogger Pálcikás Jégkrém Karamell 90 ml,Nogger Pálcikás Jégkrém Karamell 90 ml,5900700121690,05900700121690,589.0,499.0,ml,ml,90.0,90.0,6544.444,5544.444,jegkremek-197,Mélyhűtött|Jégkrémek|Pálcikás és tölcséres jégkrémek|Pálcikás és tölcséres jégkrémek
5900741601137|come a casa spenótos-ricottás lasagne 400 g,kg,-175.0,-4.765,Come a Casa spenótos-ricottás lasagne 400 g,Come a Casa spenótos-ricottás lasagne 400 g,5900741601137,05900741601137,1469.0,1399.0,g,g,400.0,400.0,3672.5,3497.5,keszetelek-217,Alapvető élelmiszerek|Készételek|Egyéb készételek|Egyéb készételek
5900783009908|heinz ketchuppal ízesített majonéz 425 g,kg,258.824,5.823,Heinz ketchuppal ízesített majonéz 425 g,Heinz ketchuppal ízesített majonéz 425 g,5900783009908,05900783009908,1889.0,1999.0,g,g,425.0,425.0,4444.706,4703.529,ketchup-mustar-majonez-torma-224,"Alapvető élelmiszerek|Szószok, mártások, poralapok|Ketchup, mustár, torma, majonéz|Majonéz"
5900951127748|pedigree vegyes válogatás teljes értékű nedves eledel felnőtt kutyák részére 4 x 100 g (400),kg,-112.5,-3.299,Pedigree Vegyes Válogatás teljes értékű nedves eledel felnőtt kutyák részére 4 x 100 g (400),Pedigree Vegyes Válogatás teljes értékű nedves eledel felnőtt kutyák részére 4 x 100 g (400),5900951127748,05900951127748,1364.0,1319.0,g,g,400.0,400.0,3410.0,3297.5,kutyaeledel-322,Kisállat|Kutyaeledelek & Kiegészítők|Nedves eledelek|Alutasakos eledelek
5900951259302|whiskas 1+ teljes értékű szárazeledel felnőtt macskák számára csirkével 300 g,kg,-166.667,-4.766,Whiskas 1+ teljes értékű szárazeledel felnőtt macskák számára csirkével 300 g,Whiskas 1+ teljes értékű szárazeledel felnőtt macskák számára csirkével 300 g,5900951259302,05900951259302,1049.0,999.0,g,g,300.0,300.0,3496.667,3330.0,macskaeledel-323,Kisállat|Macskaeledelek & Kiegészítők|Száraz eledelek|Kis kiszerelés (-800g)
5900951297199|m&m's tejcsokoládés drazsé cukorbevonattal 45 g,kg,533.333,4.404,M&M's tejcsokoládés drazsé cukorbevonattal 45 g,M&M's tejcsokoládés drazsé cukorbevonattal 45 g,5900951297199,05900951297199,545.0,569.0,g,g,45.0,45.0,12111.111,12644.444,cukorkak-drazsek-182,"Alapvető élelmiszerek|Cukorkák, rágógumik és egyéb édességek|Cukorkák, rágógumik|Drazsék"
"5900951310454|snickers creamy tejcsokoládé földimogyorókrémmel karamellával 2 x 18,25 g (36,5 g)",kg,-547.945,-4.773,"Snickers Creamy tejcsokoládé földimogyorókrémmel karamellával 2 x 18,25 g (36,5 g)","Snickers Creamy tejcsokoládé földimogyorókrémmel karamellával 2 x 18,25 g (36,5 g)",5900951310454,05900951310454,419.0,399.0,g,g,36.5,36.5,11479.452,10931.507,csokolade-175,Alapvető élelmiszerek|Csokoládék|Csokoládészeletek|Tejcsokoládészeletek
"5900951310973|snickers karamellás földimogyorós krémes szelet földimogyoró darabokkal 2 x 37,5 g (75 g)",kg,-400.0,-5.181,"Snickers karamellás földimogyorós krémes szelet földimogyoró darabokkal 2 x 37,5 g (75 g)","Snickers karamellás földimogyorós krémes szelet földimogyoró darabokkal 2 x 37,5 g (75 g)",5900951310973,05900951310973,579.0,549.0,g,g,75.0,75.0,7720.0,7320.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Csokoládészeletek|Mogyorós tejcsokoládészeletek
5900951311321|mars tejcsokoládé karamella belsővel és lágy töltelékkel 51 g,kg,-392.157,-4.773,Mars tejcsokoládé karamella belsővel és lágy töltelékkel 51 g,Mars tejcsokoládé karamella belsővel és lágy töltelékkel 51 g,5900951311321,05900951311321,419.0,399.0,g,g,51.0,51.0,8215.686,7823.529,csokolade-175,Alapvető élelmiszerek|Csokoládék|Csokoládészeletek|Tejcsokoládészeletek
5900951311505|snickers karamellás földimogyorós krémes szelet földimogyoró darabokkal tejcsokoládéba mártva 50 g,kg,-400.0,-4.773,Snickers karamellás földimogyorós krémes szelet földimogyoró darabokkal tejcsokoládéba mártva 50 g,Snickers karamellás földimogyorós krémes szelet földimogyoró darabokkal tejcsokoládéba mártva 50 g,5900951311505,05900951311505,419.0,399.0,g,g,50.0,50.0,8380.0,7980.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Csokoládészeletek|Mogyorós tejcsokoládészeletek
"5900951312250|twix xtra kekszes szeletek karamellával tejcsokoládéba mártva 2 x 37,5 g (75 g)",kg,-400.0,-5.181,"Twix Xtra kekszes szeletek karamellával tejcsokoládéba mártva 2 x 37,5 g (75 g)","Twix Xtra kekszes szeletek karamellával tejcsokoládéba mártva 2 x 37,5 g (75 g)",5900951312250,05900951312250,579.0,549.0,g,g,75.0,75.0,7720.0,7320.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Csokoládészeletek|Tejcsokoládészeletek
5900972000716|frosta gyorsfagyasztott elősütött halrudak halfiléből aranyló ropogós panírban 15 db 450 g,kg,-222.222,-3.848,FRoSTA gyorsfagyasztott elősütött halrudak halfiléből aranyló ropogós panírban 15 db 450 g,FRoSTA gyorsfagyasztott elősütött halrudak halfiléből aranyló ropogós panírban 15 db 450 g,5900972000716,05900972000716,2599.0,2499.0,g,g,450.0,450.0,5775.556,5553.333,fagyasztott-husok-193,Mélyhűtött|Fagyasztott halak|Halrudak és panírozott termékek|Halrudak és panírozott termékek
5900972003434|frosta gyorsfagyasztott kedvenc serpenyős zöldségek 400 g,kg,-100.0,-3.85,FRoSTA gyorsfagyasztott kedvenc serpenyős zöldségek 400 g,FRoSTA gyorsfagyasztott kedvenc serpenyős zöldségek 400 g,5900972003434,05900972003434,1039.0,999.0,g,g,400.0,400.0,2597.5,2497.5,fagyasztott-zoldseg-es-gyumolcs-194,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
5900972003663|frosta gyorsfagyasztott serpenyős zöldségek olasz stílusban 400 g,kg,-100.0,-3.85,FRoSTA gyorsfagyasztott serpenyős zöldségek olasz stílusban 400 g,FRoSTA gyorsfagyasztott serpenyős zöldségek olasz stílusban 400 g,5900972003663,05900972003663,1039.0,999.0,g,g,400.0,400.0,2597.5,2497.5,fagyasztott-zoldseg-es-gyumolcs-194,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
