key,base_unit,Spar_product_name,Spar_barcode,Spar_unit_price,Spar_unit_step,Spar_unit_type,Spar_base_price,Spar_categories,Prima_product_name,Prima_barcode,Prima_unit_price,Prima_unit_step,Prima_unit_type,Prima_base_price,Prima_categories,Tesco_product_name,Tesco_barcode,Tesco_unit_price,Tesco_unit_step,Tesco_unit_type,Tesco_base_price,Tesco_categories,min_store,max_store,pct_spread
eva heringfilé növényi olajban 170 g,kg,Eva heringfilé növényi olajban 170 g,3850104043338,999.0,102.0,g,9794.118,halkonzerv-huskonzerv-melegszendvicskrem-212,Eva heringfilé növényi olajban 170 g,3850104043338,1099.0,102.0,g,10774.51,hal-konzerv-102,Eva heringfilé növényi olajban 170 g,03850104043338,789.0,170.0,g,4641.176,"Alapvető élelmiszerek|Konzervek, olívabogyók|Halkonzervek, haltermékek|Hering",Tesco,Prima,132.15
"gillette series nyugtató hatású borotvazselé aloe verával, 200ml",l,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",3014260214692,1574.0,200.0,ml,7870.0,borotvahab-294,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",3014260214692,2999.0,200.0,ml,14995.0,ferfi-kozmetikum-206,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",03014260214692,1299.0,200.0,ml,6495.0,"Drogéria|Férfi borotválkozás|Borotvahabok, borotvazselék|Borotvahabok, borotvazselék",Tesco,Prima,130.87
hamé betyár ínyenc sertésmájkrém 105 g,kg,Hamé Betyár ínyenc sertésmájkrém 105 g,8594001691203,246.0,105.0,g,2342.857,pastetomok-majasok-120,Hamé Betyár ínyenc sertésmájkrém 105 g,8594001691203,565.0,105.0,g,5380.952,maj-huskonzerv-melegszendvicskrem-103,Hamé Betyár ínyenc sertésmájkrém 105 g,08594001691203,255.0,105.0,g,2428.571,"Alapvető élelmiszerek|Konzervek, olívabogyók|Májasok, melegszendvicskrémek és húskonzervek|Sertéshús májasok és konzervek",Spar,Prima,129.675
hamé parasztos sertésmájkrém 105 g,kg,Hamé parasztos sertésmájkrém 105 g,8594001691210,246.0,105.0,g,2342.857,pastetomok-majasok-120,Hamé parasztos sertésmájkrém 105 g,8594001691210,565.0,105.0,g,5380.952,maj-huskonzerv-melegszendvicskrem-103,Hamé parasztos sertésmájkrém 105 g,08594001691210,255.0,105.0,g,2428.571,"Alapvető élelmiszerek|Konzervek, olívabogyók|Májasok, melegszendvicskrémek és húskonzervek|Sertéshús májasok és konzervek",Spar,Prima,129.675
rege uborkasaláta savanyúság hagymával 680 g,kg,Rege uborkasaláta savanyúság hagymával 680 g,5998094550547,1249.0,350.0,g,3568.571,savanyusag-222,Rege uborkasaláta savanyúság hagymával 680 g,5998094550547,1399.0,350.0,g,3997.143,savanyusag-100,Rege uborkasaláta savanyúság hagymával 680 g,05998094550547,1199.0,680.0,g,1763.235,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka,Tesco,Prima,126.694
rege enyhén kapros uborka savanyúság 5-8 cm 680 g,kg,Rege enyhén kapros uborka savanyúság 5-8 cm 680 g,5998094551766,1249.0,360.0,g,3469.444,savanyusag-222,Rege enyhén kapros uborka savanyúság 5-8 cm 680 g,5998094551766,1399.0,360.0,g,3886.111,savanyusag-100,Rege enyhén kapros uborka savanyúság 5-8 cm 680 g,05998094551766,1199.0,680.0,g,1763.235,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka,Tesco,Prima,120.397
rege kovászos uborka természetes savanyítással 6-9 cm 680 g,kg,Rege kovászos uborka természetes savanyítással 6-9 cm 680 g,5998094552114,1249.0,360.0,g,3469.444,savanyusag-222,Rege kovászos uborka természetes savanyítással 6-9 cm 680 g,5998094552114,1399.0,360.0,g,3886.111,savanyusag-100,Rege kovászos uborka természetes savanyítással 6-9 cm 680 g,05998094552114,1199.0,680.0,g,1763.235,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka,Tesco,Prima,120.397
"pantene pro-v intensive repair sampon, pro-v formula+antioxidánsok, gyenge és sérült hajra, 250ml",l,"Pantene Pro-V Intensive Repair sampon, Pro-V formula+antioxidánsok, gyenge és sérült hajra, 250ml",5410076563456,1154.0,250.0,ml,4616.0,hajsampon-301,"Pantene Pro-V Intensive Repair sampon, Pro-V formula+antioxidánsok, gyenge és sérült hajra, 250ml",5410076563456,2099.0,250.0,ml,8396.0,hajapolas-202,"Pantene Pro-V Intensive Repair sampon, Pro-V formula+antioxidánsok, gyenge és sérült hajra, 250ml",05410076563456,999.0,250.0,ml,3996.0,Drogéria|Hajápolás|Női samponok|Normál hajra,Tesco,Prima,110.11
"head & shoulders citrus fresh korpásodás elleni sampon, 250ml",l,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 250ml",8006540063286,1574.0,250.0,ml,6296.0,hajsampon-301,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 250ml",8006540063286,2899.0,250.0,ml,11596.0,hajapolas-202,"Head & Shoulders Citrus Fresh Korpásodás Elleni Sampon, 250ml",08006540063286,1399.0,250.0,ml,5596.0,Drogéria|Hajápolás|Női samponok|Korpásodás ellen,Tesco,Prima,107.219
"head & shoulders classic clean korpásodás elleni sampon, 250ml",l,"Head & Shoulders Classic Clean Korpásodás Elleni Sampon, 250ml",8006540063330,1574.0,250.0,ml,6296.0,hajsampon-301,"Head & Shoulders Classic Clean Korpásodás Elleni Sampon, 250ml",8006540063330,2899.0,250.0,ml,11596.0,hajapolas-202,"Head & Shoulders Classic Clean Korpásodás Elleni Sampon, 250ml",08006540063330,1399.0,250.0,ml,5596.0,Drogéria|Hajápolás|Női samponok|Korpásodás ellen,Tesco,Prima,107.219
eva sprotni növényi olajban 170 g,kg,Eva sprotni növényi olajban 170 g,3850104042263,894.0,119.0,g,7512.605,halkonzerv-huskonzerv-melegszendvicskrem-212,Eva sprotni növényi olajban 170 g,3850104042263,975.0,119.0,g,8193.277,hal-konzerv-102,Eva sprotni növényi olajban 170 g,03850104042263,689.0,170.0,g,4052.941,"Alapvető élelmiszerek|Konzervek, olívabogyók|Halkonzervek, haltermékek|Sprotni",Tesco,Prima,102.156
bonduelle gold szuperédes morzsolt kukorica 670 g,kg,Bonduelle Gold szuperédes morzsolt kukorica 670 g,3083681024258,1429.0,570.0,g,2507.018,zoldsegkonzerv-210,Bonduelle Gold szuperédes morzsolt kukorica 670 g,3083681024258,1599.0,570.0,g,2805.263,zoldseg-konzerv-99,Bonduelle Gold szuperédes morzsolt kukorica 670 g,03083681024258,949.0,670.0,g,1416.418,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica",Tesco,Prima,98.053
cif cleanboost cream lemon súrolókrém 500 ml,l,Cif Cleanboost Cream Lemon súrolókrém 500 ml,8712561552776,1344.0,500.0,ml,2688.0,fem-es-tuzhelytisztitok-280,Cif Cleanboost Cream Lemon súrolókrém 500 ml,8712561552776,1899.0,500.0,ml,3798.0,tisztitoszer-223,Cif Cleanboost Cream Lemon súrolókrém 500 ml,08712561552776,959.0,500.0,ml,1918.0,"Háztartás|Tisztítószerek, takarítóeszközök|Súrolókrémek|Súrolókrémek",Tesco,Prima,98.019
cif cleanboost cream original súrolókrém 500 ml,l,Cif Cleanboost Cream Original súrolókrém 500 ml,8712561552905,1344.0,500.0,ml,2688.0,konyhai-tisztitoszer-274,Cif Cleanboost Cream Original súrolókrém 500 ml,8712561552905,1899.0,500.0,ml,3798.0,tisztitoszer-223,Cif Cleanboost Cream Original súrolókrém 500 ml,08712561552905,959.0,500.0,ml,1918.0,"Háztartás|Tisztítószerek, takarítóeszközök|Súrolókrémek|Súrolókrémek",Tesco,Prima,98.019
