index,category_id,name,display_name,url_category_path,parent_category_id,parent_url_category_path,depth,amounts,child_count,is_leaf,path,path_ids,image_url
313,Gyumölcsösbor,"Gyümölcsös bor, pezsgő","Gyümölcsös bor, pezsgő",élelmiszer/ital/bor-és-pezsgő/gyümölcsös-bor-pezsgő,borokEsPezsgők,élelmiszer/ital/bor-és-pezsgő,3,19,0,true,"Élelmiszer > Ital > Bor és pezsgő > Gyümölcsös bor, pezsgő",Élelmiszer|Ital|borokEsPezsgők|Gyumölcsösbor,https://cdn.metro-group.com/hu/hu_pim_175298001001_01.png
314,Alkoholmentes,Alkoholmentes,Alkoholmentes,élelmiszer/ital/bor-és-pezsgő/alkoholmentes,borokEsPezsgők,élelmiszer/ital/bor-és-pezsgő,3,16,0,true,Élelmiszer > Ital > Bor és pezsgő > Alkoholmentes,Élelmiszer|Ital|borokEsPezsgők|Alkoholmentes,https://cdn.metro-group.com/hu/hu_pim_755538001001_01.png
315,égetettSzeszek,Égetett szesz,Égetett szesz,élelmiszer/ital/égetett-szesz,Ital,élelmiszer/ital,2,644,9,false,Élelmiszer > Ital > Égetett szesz,Élelmiszer|Ital|égetettSzeszek,https://cdn.metro-group.com/hu/hu_pim_74233001001_01.png
316,Borpárlatok_1739464598573,Borpárlatok,Borpárlatok,élelmiszer/ital/égetett-szesz/borpárlatok,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,106,0,true,Élelmiszer > Ital > Égetett szesz > Borpárlatok,Élelmiszer|Ital|égetettSzeszek|Borpárlatok_1739464598573,https://cdn.metro-group.com/hu/hu_pim_465220001001_02.png
317,Gabonapárlatok,Gabonapárlatok,Gabonapárlatok,élelmiszer/ital/égetett-szesz/gabonapárlatok,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,46,0,true,Élelmiszer > Ital > Égetett szesz > Gabonapárlatok,Élelmiszer|Ital|égetettSzeszek|Gabonapárlatok,https://cdn.metro-group.com/hu/hu_pim_141030001001_02.png
318,Likőrök_1739464660809,Likőrök,Likőrök,élelmiszer/ital/égetett-szesz/likőrök,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,176,0,true,Élelmiszer > Ital > Égetett szesz > Likőrök,Élelmiszer|Ital|égetettSzeszek|Likőrök_1739464660809,https://cdn.metro-group.com/hu/hu_pim_74233001001_01.png
319,Vodka,Vodka,Vodka,élelmiszer/ital/égetett-szesz/vodka,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,99,0,true,Élelmiszer > Ital > Égetett szesz > Vodka,Élelmiszer|Ital|égetettSzeszek|Vodka,https://cdn.metro-group.com/hu/hu_pim_175776001001_01.png
320,Whisky,Whiskey,Whiskey,élelmiszer/ital/égetett-szesz/whiskey,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,100,0,true,Élelmiszer > Ital > Égetett szesz > Whiskey,Élelmiszer|Ital|égetettSzeszek|Whisky,https://cdn.metro-group.com/hu/hu_pim_115187001001_02.png
321,rumEsTequila,"Rum, tequila","Rum, tequila",élelmiszer/ital/égetett-szesz/rum-tequila,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,63,0,true,"Élelmiszer > Ital > Égetett szesz > Rum, tequila",Élelmiszer|Ital|égetettSzeszek|rumEsTequila,https://cdn.metro-group.com/hu/hu_pim_173925001001_02.png
322,vermouthAndVermouthFelek,Vermouth & Vermouth-félék,Vermouth & Vermouth-félék,élelmiszer/ital/égetett-szesz/vermouth-vermouth-félék,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,8,0,true,Élelmiszer > Ital > Égetett szesz > Vermouth & Vermouth-félék,Élelmiszer|Ital|égetettSzeszek|vermouthAndVermouthFelek,https://cdn.metro-group.com/hu/hu_pim_882511001002_01.png
