index,id,name,slug,parent_id,count,child_count,is_leaf,is_fetch_root,path,path_ids,permalink,image_url
0,1311,Egészséges életmód,egeszseges-eletmod,,109,7,false,true,Egészséges életmód,1311,https://cooponline.hu/kategoria/egeszseges-eletmod/,https://cooponline.hu/wp-content/uploads/2023/06/egeszeseges-eletmod.webp
1,1328,Csökkentett cukor / szénhidrát tartalom,csokkentett-cukor-szenhidrat-tartalom,1311,25,0,true,false,Egészséges életmód > Csökkentett cukor / szénhidrát tartalom,1311|1328,https://cooponline.hu/kategoria/egeszseges-eletmod/csokkentett-cukor-szenhidrat-tartalom/,https://cooponline.hu/wp-content/uploads/2023/06/Egeszseg-Csokkentett-Cukor.webp
2,1312,Gluténmentes termékek,gluten-mentes,1311,17,0,true,false,Egészséges életmód > Gluténmentes termékek,1311|1312,https://cooponline.hu/kategoria/egeszseges-eletmod/gluten-mentes/,https://cooponline.hu/wp-content/uploads/2023/06/Egeszseg-Egeszseg.webp
3,1370,GymBeam termékek,gymbeam-termekek,1311,30,0,true,false,Egészséges életmód > GymBeam termékek,1311|1370,https://cooponline.hu/kategoria/egeszseges-eletmod/gymbeam-termekek/,https://cooponline.hu/wp-content/uploads/2023/06/Egeszseg-Gymbeam.webp
4,1330,Laktózmentes termékek,laktozmentes,1311,10,0,true,false,Egészséges életmód > Laktózmentes termékek,1311|1330,https://cooponline.hu/kategoria/egeszseges-eletmod/laktozmentes/,https://cooponline.hu/wp-content/uploads/2023/06/Egeszseg-Laktozmentes.webp
5,1368,Speciális étrend,specialis-etrend,1311,73,0,true,false,Egészséges életmód > Speciális étrend,1311|1368,https://cooponline.hu/kategoria/egeszseges-eletmod/specialis-etrend/,https://cooponline.hu/wp-content/uploads/2023/06/Egeszseg-SpecialisEtrend.webp
6,1331,"Vitamin, Pezsgőtabletta",vitamin-pezsgotabletta,1311,8,0,true,false,"Egészséges életmód > Vitamin, Pezsgőtabletta",1311|1331,https://cooponline.hu/kategoria/egeszseges-eletmod/vitamin-pezsgotabletta/,https://cooponline.hu/wp-content/uploads/2023/06/Egeszseg-vitamin-pezsgotabletta.webp
7,1329,Édesítőszer,edesitoszer,1311,7,0,true,false,Egészséges életmód > Édesítőszer,1311|1329,https://cooponline.hu/kategoria/egeszseges-eletmod/edesitoszer/,https://cooponline.hu/wp-content/uploads/2023/06/Edesitoszer.webp
8,1313,Fűszer,fuszer,,184,4,false,true,Fűszer,1313,https://cooponline.hu/kategoria/fuszer/,https://cooponline.hu/wp-content/uploads/2023/06/fuszer.webp
9,1315,Fűszerkeverék,fuszerkeverek,1313,52,0,true,false,Fűszer > Fűszerkeverék,1313|1315,https://cooponline.hu/kategoria/fuszer/fuszerkeverek/,https://cooponline.hu/wp-content/uploads/2023/06/Fuszer-Keverekek.webp
