store,product_name,barcode,unit_price,unit_step,unit_type,base_price,base_unit,reason,categories
Tesco,"Labello Cherry Shine ajakápoló 4,8 g",09005800362946,1139.0,4.8,g,237291.667,kg,too_high,Drogéria|Bőrápolás|Arcápolás|Ajakápoló termékek
Tesco,"Labello Blackberry Shine ajakápoló 4,8 g",09005800363059,1139.0,4.8,g,237291.667,kg,too_high,Drogéria|Bőrápolás|Arcápolás|Ajakápoló termékek
Tesco,"Labello Soft Rosé ajakápoló 4,8 g",09005800362885,1139.0,4.8,g,237291.667,kg,too_high,Drogéria|Bőrápolás|Arcápolás|Ajakápoló termékek
Tesco,Loctite Super Bond Liquid pillanatragasztó 3 g,09000100072465,699.0,3.0,g,233000.0,kg,too_high,Otthon-hobbi|Barkácsolás|Ragasztás|Ragasztók és kiegészítők
Tesco,Gorilla pillanatragasztó 15 g,05704947000776,3419.0,15.0,g,227933.333,kg,too_high,Otthon-hobbi|Barkácsolás|Ragasztás|Ragasztók és kiegészítők
Spar,Protect Combi Plus hangyairtó csalétek 3 x 2 g,5997378742135,1274.0,6.0,g,212333.333,kg,too_high,rovarirtok-279
Tesco,"bebe Classic ajakápoló 4,9 g",03574661652016,1039.0,4.9,g,212040.816,kg,too_high,Drogéria|Bőrápolás|Arcápolás|Ajakápoló termékek
Tesco,"bebe Gently Rosé ajakápoló mandulaolajjal és sheavajjal 4,9 g",03574661652023,1039.0,4.9,g,212040.816,kg,too_high,Drogéria|Bőrápolás|Arcápolás|Ajakápoló termékek
Tesco,Raid molyirtó gél levendula illattal 2 x 3 g (6 g),04000290902851,1249.0,6.0,g,208166.667,kg,too_high,"Háztartás|Tisztítószerek, takarítóeszközök|Rovarirtószerek|Molyirtók"
Tesco,Carmex Strawberry ajakápoló SPF 15 10 g,00083078014247,2079.0,10.0,g,207900.0,kg,too_high,Drogéria|Bőrápolás|Arcápolás|Ajakápoló termékek
Tesco,"Paloma Air Deo Vanilla Cocco Parfum Duo levegőillatosító 2 x 2,5 g",05997270780310,999.0,5.0,g,199800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,"Paloma Air Deo Atlantic & Ocean Parfum Duo levegőillatosító 2 x 2,5 g",05997270780327,999.0,5.0,g,199800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Protect Combi Plus hangyairtó csalétek 3 x 2 g,05997378742135,1149.0,6.0,g,191500.0,kg,too_high,"Háztartás|Tisztítószerek, takarítóeszközök|Rovarirtószerek|Mászórovarok ellen"
Tesco,Vanília őrlemény 6 g,05997951101342,1139.0,6.0,g,189833.333,kg,too_high,"Alapvető élelmiszerek|Sütés-főzés hozzávalók|Sütés, befőzés alapanyagok|Aroma"
Tesco,"Garnier Skin Naturals Regeneráló textilmaszk szemkörnyékre 1 /2 millió probiotikummal, 6 g",03600542461740,1129.0,6.0,g,188166.667,kg,too_high,"Drogéria|Bőrápolás|Arcápolás|Arcmaszkok, arcpakolás"
Spar,"Labello Original ajakápoló 2 x 4,8 g",9005800362878,1784.0,9.6,g,185833.333,kg,too_high,ajakapolok-297
Spar,Vanília őrlemény 6 g,5997951101342,1094.0,6.0,g,182333.333,kg,too_high,sutesi-alapanyagok-162
Tesco,Dr. Oetker őrölt vanília 5 g,05997381376815,899.0,5.0,g,179800.0,kg,too_high,"Alapvető élelmiszerek|Sütés-főzés hozzávalók|Sütés, befőzés alapanyagok|Egyéb"
Tesco,Wunder-Baum New Car autó légfrissítő 5 g,05999070314078,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Vanillaroma autó légfrissítő 5 g,05999070314092,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum City Style autó légfrissítő 5 g,05999070314146,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Green Apple autó légfrissítő 5 g,05999070314153,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Black Ice autó légfrissítő 5 g,05999070314160,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Bubble Gum autó légfrissítő 5 g,05999070314139,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Orange Juice autó légfrissítő 5 g,07612720201457,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Everfresh autó légfrissítő 5 g,05999070314047,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Summer Cotton autó légfrissítő 5 g,05999070314184,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Piña Colada autó légfrissítő 5 g,05999070314177,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Relax autó légfrissítő 5 g,05999070314191,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Kokosnuss autó légfrissítő 5 g,05999070314108,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Leather autó légfrissítő 5 g,05999070314115,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Zitrone autó légfrissítő 5 g,05999070314085,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Supernova Tree autó légfrissítő 5 g,07612720200030,899.0,5.0,g,179800.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,"Naturland D₃-vitamin 4000 NE forte étrend-kiegészítő tabletta 60 db 11,01 g",05999561010311,1929.0,11.01,g,175204.36,kg,too_high,Drogéria|Patika|Vitaminok és étrendkiegészítők|Vitaminok és étrendkiegészítők
Spar,Durex Mutual Pleasure óvszer 3 db,5052197017298,2624.0,15.0,g,174933.333,kg,too_high,ovszerek-sikositok-310
Tesco,Bepanthen Sensiderm krém 20 g,04064273120021,3459.0,20.0,g,172950.0,kg,too_high,Baba|Babaápolási termékek|Babakozmetikumok|Babakozmetikumok
Tesco,Little Joe New Car illatosító 12 g,07640125380118,1999.0,12.0,g,166583.333,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Little Joya Springtime illatosító 12 g,07640186842815,1999.0,12.0,g,166583.333,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Spar,Blue Dragon Sushi Nori szárított algalapok 11g,5010338303006,1804.0,11.0,g,164000.0,kg,too_high,egyeb-172
