store,basis,key,count,names,barcodes,unit_steps
Prima,name,whiskas 1+ tasty mix teljes értékű nedves eledel felnőtt macskáknak 4 x 85 g (340 g),2,Whiskas 1+ Tasty Mix teljes értékű nedves eledel felnőtt macskáknak 4 x 85 g (340 g),4770608262709 | 4770608262716,340.0 g
Tesco,name,fuchs extra sárga tojás m-l 10 db,2,Fuchs extra sárga tojás M-L 10 db,05999882015002 | 05999882015996,10.0 db
Tesco,name,zott jogobella élőflórás joghurt 150 g,3,Zott Jogobella élőflórás joghurt 150 g,04014500512976 | 04014500513928 | 04014500519630,150.0 g
Tesco,name,zott jogobella laktózmentes élőflórás joghurt 150 g,2,Zott Jogobella laktózmentes élőflórás joghurt 150 g,04014500517360 | 04014500518855,150.0 g
Tesco,name,nivea pearl & beauty izzadásgátló 50 ml,2,NIVEA Pearl & Beauty izzadásgátló 50 ml,09005800379265 | 09005800398990,50.0 ml
Tesco,name,zott jogobella élőflórás joghurt 400 g,3,Zott Jogobella élőflórás joghurt 400 g,04014500512914 | 04014500513010 | 04014500516363,400.0 g
Tesco,name,nivea men black & white invisible original izzadásgátló 50 ml,2,NIVEA MEN Black & White Invisible Original izzadásgátló 50 ml,00000042240709 | 09005800352206,50.0 ml
Tesco,name,nivea black & white invisible clear izzadásgátló 50 ml,2,NIVEA Black & White Invisible Clear izzadásgátló 50 ml,09005800379098 | 09005800401249,50.0 ml
Tesco,name,tesco csemege ketchup 500 g,2,Tesco csemege ketchup 500 g,05051007164955 | 05051007171359,500.0 g
Tesco,name,tesco home kéztörlő 50 cm x 90 cm,2,Tesco Home kéztörlő 50 cm x 90 cm,05054548715990 | 05054548720161,1.0 db
Tesco,name,tesco csípős ketchup 500 g,2,Tesco csípős ketchup 500 g,05051007164962 | 05051007171366,500.0 g
Tesco,name,nivea men black & white invisible fresh izzadásgátló 50 ml,2,NIVEA MEN Black & White Invisible Fresh izzadásgátló 50 ml,00000042332466 | 09005800352244,50.0 ml
Tesco,name,f&f basics üdítőspohár,3,F&F Basics üdítőspohár,05054082071767 | 05054082071880 | 05054304569782,1.0 db
Tesco,name,tesco outdoor mellévágó metszőolló,2,Tesco Outdoor mellévágó metszőolló,05053526130091 | 05053526130107,1.0 db
Tesco,name,tesco outdoor ültetőkanál,2,Tesco Outdoor ültetőkanál,05053526130121 | 05054082137845,1.0 db
Tesco,name,jégakku,2,Jégakku,08002936016911 | 08002936798008,1.0 db
Tesco,name,performance tubi 3 rétegű fonott pvc locsolótömlő 20 m,2,Performance Tubi 3 rétegű fonott PVC locsolótömlő 20 m,08033813895022 | 08033813895039,1.0 db
Tesco,name,többféle napelemes állatfigura 115 mm,2,Többféle napelemes állatfigura 115 mm,08719987018510 | 08719987499807,1.0 db
Tesco,name,performance tubi 3 rétegű fonott pvc locsolótömlő 25 m,2,Performance Tubi 3 rétegű fonott PVC locsolótömlő 25 m,08033813890119 | 08033813890164,1.0 db
Tesco,name,bbq grillsütő-kefe,2,BBQ grillsütő-kefe,08711295675065 | 08720573529242,1.0 db
Tesco,name,kerámia kerti állatfigurák dekoráció,2,Kerámia kerti állatfigurák dekoráció,08721037008136 | 08721037008167,1.0 db
Tesco,name,"g.f. locsolótömlő csatlakozó 1/2""-5/8"" (12-15 mm)",2,"G.F. locsolótömlő csatlakozó 1/2""-5/8"" (12-15 mm)",08004779030208 | 08004779034398,1.0 db
Tesco,name,"g.f. locsolótömlő csatlakozó 3/4"" (16-19 mm)",2,"G.F. locsolótömlő csatlakozó 3/4"" (16-19 mm)",08004779016745 | 08004779030239,1.0 db
Tesco,name,bonduelle veggie nuggets gyorsfagyasztott panírozott és elősütött sajtos zöldségkorong 305 g,2,Bonduelle Veggie Nuggets gyorsfagyasztott panírozott és elősütött sajtos zöldségkorong 305 g,03083681176957 | 03083681176988,305.0 g
Tesco,name,nivea men black & white invisible epic night izzadásgátló 50 ml,2,NIVEA MEN Black & White Invisible Epic Night izzadásgátló 50 ml,09005800401133 | 09005800401157,50.0 ml
Tesco,name,tesco 100% narancslé 1 l,2,Tesco 100% Narancslé 1 l | Tesco 100% narancslé 1 l,05051007117838 | 05051007166485,1000.0 ml
Tesco,name,tesco 100% almalé 1 l,2,Tesco 100% almalé 1 l,05051007117869 | 05051007166454,1000.0 ml
Tesco,name,zott jogobella joghurtos ital 250 g,2,Zott Jogobella joghurtos ital 250 g,04014500504520 | 04014500504537,250.0 g
Tesco,name,"zott monte csokoládés, mogyorós tejdesszert 4 x 55 g (220 g)",2,"Zott Monte csokoládés, mogyorós tejdesszert 4 x 55 g (220 g)",04014500512686 | 04014500518077,220.0 g
Tesco,name,zott belriso tejberizs 200 g,3,Zott Belriso tejberizs 200 g,04014500512266 | 04014500512297 | 04014500519135,200.0 g
Tesco,name,zott pure joy kókuszkrém és hidrolizált zab alapú savanyított termék 140 g,2,Zott Pure Joy kókuszkrém és hidrolizált zab alapú savanyított termék 140 g,04014500521282 | 04014500521480,140.0 g
Tesco,name,la vache qui rit cheese dippers ömlesztett sajtkészítmény kenyérrudacskákkal 35 g,2,La Vache Qui Rit Cheese Dippers ömlesztett sajtkészítmény kenyérrudacskákkal 35 g,03073781082302 | 03073781121346,35.0 g
Tesco,name,tesco darált sertéshús 500 g,2,Tesco darált sertéshús 500 g,05999550507686 | 05999550507693,500.0 g
