store_product_id,product_name,barcode,normalized_unit_price,normalized_step,normalized_unit,tesco_actual,tesco_unit_price,tesco_measure,derived_step_from_tesco_unit_price,derived_unit,ratio,categories
120193878,Ooops! Everyday Peach toalettpapír 3 rétegű 24 tekercs,05998648701791,2339.0,1.0,db,2339,97.5,each,23.99,db,23.99,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
105015005,Ooops! Everyday Sensitive Goal! toalettpapír 3 rétegű 24 tekercs,05998648709278,2339.0,1.0,db,2339,97.5,each,23.99,db,23.99,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatmentes"
105366482,Persil Discs mosókapszula 22 mosás,09000101829303,4839.0,1.0,db,4839,220.0,each,21.995,db,21.995,Háztartás|Mosás|Mosókapszulák|Általános
105366485,Persil Discs Color mosókapszula 22 mosás,09000101829099,4839.0,1.0,db,4839,220.0,each,21.995,db,21.995,Háztartás|Mosás|Mosókapszulák|Színes
100503544,Clementoni Soft Clemmy Touch & Play 20 db-os puha építőjáték 6-36 hónap,08005125178773,7190.0,20.0,db,7190,7190.0,each,1.0,db,20.0,Otthon-hobbi|Játékok|Legkisebbeknek|Legkisebbeknek
100405184,Tesco ruhaszárító 20 db csipesszel,05057967776580,999.0,20.0,db,999,999.0,each,1.0,db,20.0,Otthon-hobbi|Otthon|Nappali és hálószoba|Egyéb kiegészítők
105484295,Persil Discs Expert Sensitive mosókapszula 20 mosás,09000101829273,4839.0,1.0,db,4839,242.0,each,19.996,db,19.996,Háztartás|Mosás|Mosókapszulák|Általános
220308432,Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 20],08006540903766,2629.0,1.0,db,2629,131.5,each,19.992,db,19.992,Drogéria|Női higiénia|Intim betétek|Intim betétek
220346500,Lynx A4 színes papír tömb 20 lapos,05999570821649,1919.0,1.0,db,1919,96.0,each,19.99,db,19.99,"Otthon-hobbi|Iskolai és irodai kellékek|Kötelező termékek|Színes papírok, kartonok, krepp papír"
100080630,Always Ultra Day Normal Egészségügyi Betét (1-es Méret) Szárnyas Betét x 20],08700216171311,1459.0,1.0,db,1459,73.0,each,19.986,db,19.986,Drogéria|Női higiénia|Intim betétek|Intim betétek
