index,name,slug,id,parent_slug,depth,subcategories
99,Tej,tej-99,6e46b12a353d8de9dec1e221,tejtermekek-98,1,0
100,"Vaj, margarin",vaj-margarin-100,76e0a1912f91d42a3f2423e3,tejtermekek-98,1,0
101,"Vajkrém, sajtkrém, körözött",vajkrem-sajtkrem-korozott-101,585f03ab5f56e349386dce5e,tejtermekek-98,1,0
102,"Tejszín, tejszínhab",tejszin-tejszinhab-102,37999ea448d88b724875c0ff,tejtermekek-98,1,0
103,Tejföl,tejfol-103,3caf87d1d0fc237eee202e0e,tejtermekek-98,1,0
104,"Túró, cottage cheese",turo-cottage-cheese-104,f0253a199104d6874768cbe4,tejtermekek-98,1,0
105,"Kefir, aludttej",kefir-aludttej-105,099dd91b7dab83d76a748a20,tejtermekek-98,1,0
106,"Natúr, görög joghurt",natur-gorog-joghurt-106,bdf7d0ce74da1f5eba7be636,tejtermekek-98,1,0
107,Ízesített joghurt,izesitett-joghurt-107,c8b3a59093b4a099a1372a94,tejtermekek-98,1,0
108,Joghurtitalok,joghurtitalok-108,d3e191671254e8678b0e062a,tejtermekek-98,1,0
109,"Ízesített tejitalok, jegeskávé",izesitett-tejitalok-jegeskave-109,23241c0641763609869532a8,tejtermekek-98,1,0
110,Növényi termékek,novenyi-termekek-110,d35a30ae77a91c0b3dab5c49,tejtermekek-98,1,0
111,Vegán termékek,vegan-termekek-111,eefa68cdad34fcecbb583d8f,tejtermekek-98,1,0
112,Tojás,tojas-112,3c5c57ca854ec5ec89312422,tejtermekek-98,1,0
113,Csemegepult,csemegepult-113,d76a4367f2871a21dddbd4d0,,0,9
114,Szalámi,szalami-114,d0b9bb9a3af8cc688ceee331,csemegepult-113,1,0
115,Felvágott,felvagott-115,fbea33d52b48f8e36ea83ed1,csemegepult-113,1,0
116,Sonka,sonka-116,69066fb613f2327a1ed6cc03,csemegepult-113,1,0
117,Párizsi,parizsi-117,333a8e6b77d78838edb5488a,csemegepult-113,1,0
118,Virsli,virsli-118,c656e6becc740619075f94ce,csemegepult-113,1,0
119,Hurka és kolbász,hurka-es-kolbasz-119,efe841a8e77d5888e2f8998c,csemegepult-113,1,0
120,"Pástétomok, májasok",pastetomok-majasok-120,ef8033983454edcd4a04b9f2,csemegepult-113,1,0
121,"Szalonna, bacon",szalonna-bacon-121,2fd3144e185c3879cbf08793,csemegepult-113,1,0
122,Zsír és tepertő,zsir-es-teperto-122,4ea821d3a01c185714b44d11,csemegepult-113,1,0
123,Húsok,husok-123,8d71528a3b4b6329312aee7d,,0,6
124,Baromfi,baromfi-124,2849a31c151612762ad494e2,husok-123,1,0
125,Marha,marha-125,5ff404609a338bd7fb3d4bde,husok-123,1,0
126,Sertés,sertes-126,3a77cba8b303e91c93fd6905,husok-123,1,0
127,Hal,hal-127,165b18ab8f9e6af904ed981f,husok-123,1,0
128,"Birka, bárány, borjú, juh",birka-barany-borju-juh-128,dc439aa0499a5107cc3f71f1,husok-123,1,0
129,Nyúl,nyul-129,026d283f67c00fc3a1db143f,husok-123,1,0
130,Reggeli,reggeli-130,5778f356f031fc4b491ed76b,,0,4
131,"Zabpehely, zabkása, rizskása",zabpehely-zabkasa-rizskasa-131,d19830a7c1eaaafd84c2ee34,reggeli-130,1,0
132,Gabonapehely,gabonapehely-132,2c2e0288632a4110456848c9,reggeli-130,1,0
133,"Müzli, granola",muzli-granola-133,8b1c0810ee4320e3ff95f9ce,reggeli-130,1,0
134,Energiaszeletek,energiaszeletek-134,e5b678d76f57390f7d7ba05a,reggeli-130,1,0
135,"Kávé, tea, kakaó",kave-tea-kakao-135,69ddd2d8cd1089aeb01eb011,,0,9
136,Őrölt kávé,orolt-kave-136,fa8c81784fd95ff632a4a54e,kave-tea-kakao-135,1,0
137,Kapszulás kávé,kapszulas-kave-137,2b1edf12dac745b98814af4a,kave-tea-kakao-135,1,0
138,Szemes kávé,szemes-kave-138,9c11d8076f05e510f83505e2,kave-tea-kakao-135,1,0
139,Instant kávé,instant-kave-139,312863deda523fcc37d7fb05,kave-tea-kakao-135,1,0
140,Fekete tea,fekete-tea-140,2c6507b234595275bf0b758d,kave-tea-kakao-135,1,0
141,Zöldtea,zoldtea-141,4009a2590787c28f675083b6,kave-tea-kakao-135,1,0
142,Gyümölcstea,gyumolcstea-142,ac9cd80a7161b3710c3056f2,kave-tea-kakao-135,1,0
143,Gyógytea,gyogytea-143,b551303110cb1ba35d8a57ba,kave-tea-kakao-135,1,0
144,Kakaó,kakao-144,1ef2a6b9df5e13617d6b64bb,kave-tea-kakao-135,1,0
146,"Lekvár, méz, krémek",lekvar-mez-kremek-146,019490f343639f8c8fd2e9a2,,0,3
147,Lekvár,lekvar-147,025790bd863ffb8619bb32f2,lekvar-mez-kremek-146,1,0
148,Méz,mez-148,86be860be1e51352ea158f8e,lekvar-mez-kremek-146,1,0
149,Krémek,kremek-149,00ef8ea6a2a5b53520520e15,lekvar-mez-kremek-146,1,0
150,Étrendkiegészítők,etrendkiegeszitok-150,85fe493ba7c39356db2f6050,,0,2
151,Protein tartalmú készítmény,protein-tartalmu-keszitmeny-151,da86de0eecb0c6b851da97e0,etrendkiegeszitok-150,1,0
152,"Egyéb étrendkiegészítők, vitaminok",egyeb-etrendkiegeszitok-vitaminok-152,e368896089fb867e499b31ca,etrendkiegeszitok-150,1,0
153,"Sütés, főzés",sutes-fozes-153,ae782716bc6f659a747eb167,,0,20
154,Tészta,teszta-154,1a6287463cdb5cd3ad8e9874,sutes-fozes-153,1,0
155,Durum tészta,durum-teszta-155,103ae109632c8597434a9019,sutes-fozes-153,1,0
156,Levesbetét,levesbetet-156,a057171566f0105359d0d3e0,sutes-fozes-153,1,0
157,Ázsiai tésztafélék,azsiai-tesztafelek-157,8caa6bed7f17259f445d856a,sutes-fozes-153,1,0
158,"Friss leveles tészta, rétestészta, pizzatészta",friss-leveles-teszta-retesteszta-pizzateszta-158,7d06360cb82a2668f8a86035,sutes-fozes-153,1,0
159,"Rizs, köles, hajdina, árpa",rizs-koles-hajdina-arpa-159,1b2a5ca425744b0b6cb43a6f,sutes-fozes-153,1,0
160,"Búzadara, liszt, zsemlemorzsa",buzadara-liszt-zsemlemorzsa-160,a9fb33c95535b4b94f0d49d1,sutes-fozes-153,1,0
161,"Ecet, olaj, citromlé",ecet-olaj-citromle-161,17849f6f7380539b5c491bd2,sutes-fozes-153,1,0
162,Sütési alapanyagok,sutesi-alapanyagok-162,75b2049283af6700ec0945f2,sutes-fozes-153,1,0
163,Pudingpor,pudingpor-163,cb87c033d73c8c015614df92,sutes-fozes-153,1,0
164,"Keményítő, zselatin",kemenyito-zselatin-164,8de649205fe4a3924f02ee47,sutes-fozes-153,1,0
165,Fűszerek,fuszerek-165,361a821dd9cfacef4eab8776,sutes-fozes-153,1,0
166,"Só, fűszersó",so-fuszerso-166,ee32d817ee89e11cc90f1411,sutes-fozes-153,1,0
167,Bors,bors-167,95737b8f2ff1d420c9e3b605,sutes-fozes-153,1,0
168,Fűszerkeverék,fuszerkeverek-168,f0c87e734e8090706bd1ca2f,sutes-fozes-153,1,0
169,Cukor,cukor-169,b3f7e1dc7879734467129919,sutes-fozes-153,1,0
170,Édesítőszerek,edesitoszerek-170,bcb1018e5b94fbdb9d1aea2f,sutes-fozes-153,1,0
171,"Ételízesítő, leveskocka",etelizesito-leveskocka-171,d462e4b4de1c5e6ed97e5795,sutes-fozes-153,1,0
172,Egyéb,egyeb-172,7207b0b829d38acf7e72e7ba,sutes-fozes-153,1,0
173,Tartósítószer,tartositoszer-173,c8666cbcf0870246eace26a9,sutes-fozes-153,1,0
174,Édességek,edessegek-174,dbb6e4abf2dd599c38d8b41f,,0,12
175,Csokoládé,csokolade-175,2ee3a74c01be3df0b2f2ee4a,edessegek-174,1,0
176,Táblás csokoládék,tablas-csokoladek-176,e91c4204af98b1f8de98ebd7,edessegek-174,1,0
177,"Desszert, bonbon",desszert-bonbon-177,fa9bacd358652b74f922e7ce,edessegek-174,1,0
178,Sütemény,sutemeny-178,fcea768250b9efc7d891e28c,edessegek-174,1,0
179,"Nápolyi, ostya",napolyi-ostya-179,9beceb2b112bead993ce5c1a,edessegek-174,1,0
180,Puszedli,puszedli-180,aa83a32accbb5e23584adf28,edessegek-174,1,0
181,Piskóta,piskota-181,e646e179380be85e5e886e60,edessegek-174,1,0
182,"Cukorkák, drazsék",cukorkak-drazsek-182,e95bb3664934b28647148b23,edessegek-174,1,0
183,Keksz,keksz-183,c739b0f40c696094e5c4e57d,edessegek-174,1,0
184,Gumicukor,gumicukor-184,3fc77ab622110eba7c13a9fc,edessegek-174,1,0
185,"Müzliszelet, gabonapehely szelet",muzliszelet-gabonapehely-szelet-185,b8285a66597187e0fec528c9,edessegek-174,1,0
186,"Rágógumik, leheletfrissítők",ragogumik-leheletfrissitok-186,de1a67a99cadd5561c9eda69,edessegek-174,1,0
187,Snack,snack-187,a23eeff4f0667975528edfd8,,0,4
188,"Chips, extrudált termékek",chips-extrudalt-termekek-188,a95108f35c6b269edc4c6f5a,snack-187,1,0
189,Popcorn,popcorn-189,0e7490e6e53601bcfba3a351,snack-187,1,0
190,"Ropi, perec, sós kekszek",ropi-perec-sos-kekszek-190,3cd309486dca321d31bc12c1,snack-187,1,0
191,Mogyoró és egyéb snack magvak,mogyoro-es-egyeb-snack-magvak-191,1ffea3db7847fa1131fefcde,snack-187,1,0
192,Fagyasztott élelmiszerek,fagyasztott-elelmiszerek-192,463ea192c042e268328cea01,,0,7
193,Fagyasztott húsok,fagyasztott-husok-193,2410101d8d670890260e1559,fagyasztott-elelmiszerek-192,1,0
194,Fagyasztott zöldség és gyümölcs,fagyasztott-zoldseg-es-gyumolcs-194,c51c5017e3486214c83390bc,fagyasztott-elelmiszerek-192,1,0
195,Köret,koret-195,120949de7afe0f6d43b42a24,fagyasztott-elelmiszerek-192,1,0
196,Pizzák,pizzak-196,371d2de1966c0745d7cbb02a,fagyasztott-elelmiszerek-192,1,0
197,Jégkrémek,jegkremek-197,03da8fb4a28619e1eb22f894,fagyasztott-elelmiszerek-192,1,0
198,Gyorsfagyasztott desszert,gyorsfagyasztott-desszert-198,458e86b68cc3fde081ac307a,fagyasztott-elelmiszerek-192,1,0
199,Pékáru,pekaru-199,b471c5ced4a6c11bc1ab9c72,fagyasztott-elelmiszerek-192,1,0
200,"Vizek, üdítők",vizek-uditok-200,20604ec31a405cae2032f2e7,,0,7
201,Ásványvíz,asvanyviz-201,5107b79da0b91f9cd1c0db46,vizek-uditok-200,1,0
202,Szénsavmentes üdítőitalok,szensavmentes-uditoitalok-202,fc5de3eb2900a943316ea908,vizek-uditok-200,1,0
203,Szénsavas üdítőital,szensavas-uditoital-203,1c528d02c0ac70d27a16edaa,vizek-uditok-200,1,0
204,Energiaital,energiaital-204,f6241aaacd0a52a3480ced03,vizek-uditok-200,1,0
205,Gyümölcslevek,gyumolcslevek-205,18adf9cfd454e1bcfba6a3be,vizek-uditok-200,1,0
206,Sportital,sportital-206,ad8b9019767f82f781d85ca0,vizek-uditok-200,1,0
207,Szörp,szorp-207,057988b39e4e1f3249421f39,vizek-uditok-200,1,0
209,"Konzerv, befőtt",konzerv-befott-209,af8105b4c862464448382671,,0,5
210,Zöldségkonzerv,zoldsegkonzerv-210,c6c47ef3e3ae1b4aeac42272,konzerv-befott-209,1,0
211,"Gyümölcskonzerv, befőtt",gyumolcskonzerv-befott-211,c9720381e5c69459d7f8798f,konzerv-befott-209,1,0
212,"Halkonzerv, húskonzerv, melegszendvicskrém",halkonzerv-huskonzerv-melegszendvicskrem-212,80505edd8992ffbdfba95828,konzerv-befott-209,1,0
213,Konzerv készételek,konzerv-keszetelek-213,e90b379df0d6122ad49b29a3,konzerv-befott-209,1,0
214,"Paradicsompüré, pesto, egyéb olasz szószok",paradicsompure-pesto-egyeb-olasz-szoszok-214,aa0499d1afe452189186d054,konzerv-befott-209,1,0
215,Kényelmi ételek,kenyelmi-etelek-215,3e26358f59d7d4b4909a10f3,,0,6
216,Szendvicskrémek és pástétomok,szendvicskremek-es-pastetomok-216,8766db5bcf16d6b34bc98b20,kenyelmi-etelek-215,1,0
217,Készételek,keszetelek-217,5052d35d6fdcca696634c62e,kenyelmi-etelek-215,1,0
218,Saláták és hidegtálak,salatak-es-hidegtalak-218,eade9587e5b8bf743c506da2,kenyelmi-etelek-215,1,0
219,Antipasti,antipasti-219,e0e2ca8b63dc94b6a8f8a6c4,kenyelmi-etelek-215,1,0
220,enjoy. termékek,enjoy-termekek-220,ddf26e435d4dcf7e4a404339,kenyelmi-etelek-215,1,0
221,Hidegkonyha,hidegkonyha-221,23318c1344cfe6810e074a23,kenyelmi-etelek-215,1,0
222,Savanyúság,savanyusag-222,26b9944e008c17940a170cc4,,0,0
223,"Szószok, mártások, öntetek",szoszok-martasok-ontetek-223,ab90ce45d1a7d1938680ddd2,,0,5
224,"Ketchup, mustár, majonéz, torma",ketchup-mustar-majonez-torma-224,ac134df5c449dc11717eb838,szoszok-martasok-ontetek-223,1,0
225,"Ételszósz, mártás",etelszosz-martas-225,915899f94fe1f48e861b1085,szoszok-martasok-ontetek-223,1,0
226,"Paprikakrém, gulyáskrém",paprikakrem-gulyaskrem-226,5b9bdd931e0930b6138104fe,szoszok-martasok-ontetek-223,1,0
227,"Salátaöntet, dresszing",salataontet-dresszing-227,64c777dccc0c2b7f87e99850,szoszok-martasok-ontetek-223,1,0
228,Grill és pác szószok,grill-es-pac-szoszok-228,4bcf67e60788f3252a332bec,szoszok-martasok-ontetek-223,1,0
229,Instant élelmiszerek,instant-elelmiszerek-229,2d6b05485f8b2c9d3d03f159,,0,2
230,"Levesek, tészták",levesek-tesztak-230,0f1deb3e70525494b6067809,instant-elelmiszerek-229,1,0
231,Alapporok,alapporok-231,f2b8dfa74eb217190c05b3b8,instant-elelmiszerek-229,1,0
232,Sör,sor-232,28fb17edb9f02f22602cf14d,,0,6
233,Kézműves sör,kezmuves-sor-233,48f21033bd0f0c771d072ee0,sor-232,1,0
234,Világos sör,vilagos-sor-234,6b38b91e4d304a73ab33d047,sor-232,1,0
235,Barna sör,barna-sor-235,d07cb5bdfab8187fe2f9c7bf,sor-232,1,0
236,Ízesített sör,izesitett-sor-236,dbebc1f64ab594c5e580e4a6,sor-232,1,0
237,Alkoholmentes sör,alkoholmentes-sor-237,75a18706d1a97fd5012a0d51,sor-232,1,0
238,Cider,cider-238,fe0f830c474a8aad7df38a15,sor-232,1,0
239,Alkoholok,alkoholok-239,d666d1a6f08e52dd0ecc6425,,0,8
240,Likőr,likor-240,fda3f7c6cebc0ec4e9d03387,alkoholok-239,1,0
241,Whiskey,whiskey-241,cd26998308a8e9b4456d92ec,alkoholok-239,1,0
242,Pálinka,palinka-242,5d13783c1b971fe1b14c21d9,alkoholok-239,1,0
243,Vodka,vodka-243,69b4860020d8a168ceb10889,alkoholok-239,1,0
244,Gin,gin-244,d725ad1dd0f28eacfdbfa84a,alkoholok-239,1,0
245,Tequila,tequila-245,2272bfb4e4c470c56c61329d,alkoholok-239,1,0
246,Rum,rum-246,052f717f14808b497dd12235,alkoholok-239,1,0
247,"Egyéb alkoholos italok, koktélok",egyeb-alkoholos-italok-koktelok-247,8da9a8d844581cea0e01f95b,alkoholok-239,1,0
248,Borok,borok-248,70afd42f7891b954bc9997cf,,0,6
