barcode,name,price_file1,price_file1_parsed,price_file2,price_file2_parsed,abs_diff,pct_vs_file1,pct_symmetric
5999559310119.0,VeganChef körözött ízesítésű vegán szendvics krém 150 g,899.0,899.0,899.0,899.0,0.0,0.0,0.0
5999559163760.0,Pölöskei Zero citrom-menta ízű szörp édesítőszerekkel 1 l,799.0,799.0,799.0,799.0,0.0,0.0,0.0
5999559163746.0,Pölöskei Zero mangó-maracuja ízű szörp édesítőszerekkel 1 l,799.0,799.0,799.0,799.0,0.0,0.0,0.0
5999559163739.0,Pölöskei Zero narancs ízű szörp édesítőszerekkel 1 l,799.0,799.0,799.0,799.0,0.0,0.0,0.0
5999559163654.0,Pölöskei Diab alma ízű szörp édesítőszerekkel 1 l,949.0,949.0,949.0,949.0,0.0,0.0,0.0
5999559163593.0,Pölöskei Diab málna ízű szörp édesítőszerekkel 1 l,949.0,949.0,949.0,949.0,0.0,0.0,0.0
5999550782496.0,S-Budget Friss csirke egészcomb,963.6,963.6,963.6,963.6,0.0,0.0,0.0
5999550782458.0,Tanyasi friss tanyasi csirke bőségtál,4158.7,4158.7,4158.7,4158.7,0.0,0.0,0.0
5999550782441.0,Tanyasi friss csirke színe-java,3199.0,3199.0,3199.0,3199.0,0.0,0.0,0.0
5999546795561.0,"Cheeseland laktózmentes, zsírszegény cottage cheese 150 g",799.0,799.0,799.0,799.0,0.0,0.0,0.0
5999548672082.0,Royal gyorsfagyasztott előfőzött fekete tigrisrák 400 g,6499.0,6499.0,6499.0,6499.0,0.0,0.0,0.0
5999548671962.0,Classic alaszkai tőkehalfilé darabok növényi olajban füst ízesítéssel 125 g,1159.0,1159.0,1159.0,1159.0,0.0,0.0,0.0
5999548671641.0,Classic gyorsfagyasztott hekkfilé 540 g,2199.0,2199.0,2199.0,2199.0,0.0,0.0,0.0
5999548671504.0,Royal gyorsfagyasztott tenger gyümölcsei 360 g,2499.0,2499.0,2499.0,2499.0,0.0,0.0,0.0
5999548671498.0,Classic szardellapaszta 60 g,559.0,559.0,559.0,559.0,0.0,0.0,0.0
5999548671368.0,"Royal hidegen füstölt, norvég lazacfilé szeletek 100 g",2389.0,2389.0,2389.0,2389.0,0.0,0.0,0.0
5999548210673.0,Nagy Tesó friss tojás L méret 10 db,1009.0,1009.0,1009.0,1009.0,0.0,0.0,0.0
5999548210628.0,Tojás Itthonról Otthonra mélyalmos tartásból L méret 10 db,999.0,999.0,999.0,999.0,0.0,0.0,0.0
5999548210086.0,Magyar fészektojás mélyalmos tartásból M méret 18 db,1609.0,1609.0,1609.0,1609.0,0.0,0.0,0.0
5999548210055.0,Magyar Tojás szabad tartásból L 6 db,598.0,598.0,598.0,598.0,0.0,0.0,0.0
5999547655802.0,Akácméz propolisszal 250 g,2349.0,2349.0,2349.0,2349.0,0.0,0.0,0.0
5999546790092.0,"Cheeseland zöldfűszeres, zsírszegény cottage cheese 150 g",719.0,719.0,719.0,719.0,0.0,0.0,0.0
5999550782427.0,Tanyasi friss csirke szárny,1557.6,1557.6,1557.6,1557.6,0.0,0.0,0.0
5999546790078.0,"Cheeseland natúr, zsírszegény cottage cheese 150 g",679.0,679.0,679.0,679.0,0.0,0.0,0.0
5999546471038.0,Aquablu szén-dioxiddal dúsított természetes ásványvíz 2 l,279.0,279.0,279.0,279.0,0.0,0.0,0.0
5999546471014.0,"Aquablu szén-dioxiddal dúsított természetes ásványvíz 1,5 l",279.0,279.0,279.0,279.0,0.0,0.0,0.0
5999545594493.0,Mizse szénsavmentes természetes ásványvíz 2 l,229.0,229.0,229.0,229.0,0.0,0.0,0.0
5999545594455.0,"Mizse szén-dioxiddal enyhén dúsított természetes ásványvíz 1,5 l",209.0,209.0,209.0,209.0,0.0,0.0,0.0
5999545594448.0,"Mizse szénsavmentes természetes ásványvíz 1,5 l",209.0,209.0,209.0,209.0,0.0,0.0,0.0
5999545594431.0,"Mizse szén-dioxiddal dúsított természetes ásványvíz 1,5 l",209.0,209.0,209.0,209.0,0.0,0.0,0.0
5999545594356.0,"Primavera szénsavmentes természetes ásványvíz 1,5 l",235.0,235.0,235.0,235.0,0.0,0.0,0.0
5999545594349.0,"Primavera szén-dioxiddal dúsított természetes ásványvíz 1,5 l",235.0,235.0,235.0,235.0,0.0,0.0,0.0
5999545594318.0,"Primavera szén-dioxiddal dúsított természetes ásványvíz 0,5 l",149.0,149.0,149.0,149.0,0.0,0.0,0.0
5999545594301.0,"Primavera szénsavmentes természetes ásványvíz 0,5 l",149.0,149.0,149.0,149.0,0.0,0.0,0.0
5999548673201.0,Classic hidegen füstölt norvég lazacfilé szeletek 100 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999548673232.0,Classic Csendes-Óceáni vadlazac 100 g,1859.0,1859.0,1859.0,1859.0,0.0,0.0,0.0
5999548673775.0,"Viking hidegen füstölt, szeletelt lazac 50 g",999.0,999.0,999.0,999.0,0.0,0.0,0.0
5999548673928.0,Classic gyorsfagyasztott afrikai harcsafilé 540 g,2199.0,2199.0,2199.0,2199.0,0.0,0.0,0.0
5999550782397.0,Tanyasi friss csirke comb,1491.7,1491.7,1491.7,1491.7,0.0,0.0,0.0
