store_name,product_name,api_step,api_unit,jellemzo,jellemzo_unit,nev_parse,kategoria,kozelebb_nevhez
Metro,aro Piros Tortazselé 5 x 10 g,10,g,50,g,10g,egyeb,api
Metro,aro Habfixáló Por ( 5 x 8 g ) 40 g,8,g,40,g,40g,egyeb,jellemzo
Metro,aro Színtelen Tortazselé 5 x 10 g,10,g,50,g,10g,egyeb,api
Metro,"Haas Quittin 4:1 zselésítőszer 21,5 g",21,g,22,g,21.5g,egyeb,?
Metro,Lucullus csalamédé ízesítő és tartósító keverék 100 g,12,g,100,g,100g,egyeb,jellemzo
Metro,Lucullus dzsem fixáló 3:1 25g,25,g,75,g,25g,egyeb,api
Metro,Lucullus dzsem fixáló 2:1 25g,25,g,75,g,25g,egyeb,api
Metro,aro Instant Sütőélesztő 5 x 11 g,11,g,55,g,11g,egyeb,api
Metro,AZTECA Simal Dürüm Tortilla 30 cm 18 db/csomag,1710,g,1620,g,18db,egyeb,?
Metro,SIMAL Dürüm Tortilla 25cm 18 x 63 g,63,g,1134,g,63g,egyeb,api
Metro,Ceres Vizes zsemle (5 x 54 g) 270 g,270,g,54,g,270g,ar_derivalt_API_hiba,api
Metro,Ceres Tejes kifli (5 x 44 g) 220 g,220,g,44,g,220g,ar_derivalt_API_hiba,api
Metro,Carnifex Készresütött mester pita 10 db 700 g,700,g,70,g,700g,ar_derivalt_API_hiba,api
Metro,Carnifex Gyorsfagyasztott Pita Teljes Kiőrlésű Búzalisztből 10 x 70 g,700,g,70,g,70g,ar_derivalt_API_hiba,jellemzo
Metro,Schulstad Szezámmagos Hamburger Zsemle 30 x 82 g,246,g,2460,g,82g,egyeb,api
Metro,La Lorraine Grillcsíkos Panini 60 x 110 g,6600,g,110,g,110g,ar_derivalt_API_hiba,jellemzo
Metro,Friss Kakaós Csiga 5 x 110 g,550,g,110,g,110g,ar_derivalt_API_hiba,jellemzo
Metro,FRIGOTTI Sajtos Croissant 5 x 90 g,450,g,90,g,90g,ar_derivalt_API_hiba,jellemzo
Metro,Kakaós Csiga 40 x 115 g,110,g,115,g,115g,egyeb,jellemzo
Metro,Túrós Táska Gyorsfagyasztott 40 x 115 g,110,g,115,g,115g,egyeb,jellemzo
Metro,NYÍREGYHÁZI KENYÉRGYÁR Belga csokis megyes párna 70 x 95 g,90,g,95,g,95g,egyeb,jellemzo
Metro,7DAYS croissant sárgabarackos töltelékkel 60 g,1200,g,60,g,60g,ar_derivalt_API_hiba,jellemzo
Metro,Midi FarciKao Tiramisu Péksütemény Mascarponés Töltelékkel 10 x 28 g,280,g,180,g,28g,egyeb,jellemzo
Metro,"METRO Chef Serrano Reserva Sonka 6–6,5 Kg + Sonkatartó Állvány + Kés",6500,g,6250,g,6500g,egyeb,api
Metro,Pöttyös kakaó 1 l,1000,ml,1061,ml,1000ml,egyeb,api
Metro,Pöttyös Túró Rudi Tejes Bevonattal 7 x 30 g,30,g,210,g,30g,egyeb,api
