store_name,store_product_id,product_name,unit_step,unit_type,tipus,javasolt_mennyiseg,javasolt_egyseg,bizonyossag,indok,local_image_paths
Aldi,4597283,"FINEST BAKERY Sajttorta new york stílusú, 450 g",423.0,g,nev_elteres,450.0,g,review,"nev szerint 450 g, API szerint 423.0 g (elteres 6%)",data/markets_data/product_images/aldi/2f4cf8a3203a0ca1.jpg
Aldi,4597284,"FINEST BAKERY Sajttorta csokoládés muffin, 370 g",423.0,g,nev_elteres,370.0,g,review,"nev szerint 370 g, API szerint 423.0 g (elteres 13%)",data/markets_data/product_images/aldi/a6b5626c9e37035e.jpg
Aldi,991350,"ALL SEASONS Gyümölcs mangó, 750 g",625.0,g,nev_elteres,750.0,g,review,"nev szerint 750 g, API szerint 625.0 g (elteres 17%)",data/markets_data/product_images/aldi/0407b8cc8c34965f.jpg
Aldi,991352,"ALL SEASONS Gyümölcs eper, 750 g",625.0,g,nev_elteres,750.0,g,review,"nev szerint 750 g, API szerint 625.0 g (elteres 17%)",data/markets_data/product_images/aldi/54f6f8d238f45106.jpg
Aldi,991354,"ALL SEASONS Gyümölcs nyári gyümölcs mix, 750 g",625.0,g,nev_elteres,750.0,g,review,"nev szerint 750 g, API szerint 625.0 g (elteres 17%)",data/markets_data/product_images/aldi/f38c6e1acc829ba9.jpg
Aldi,4605953,"HARIBO Push-Up jégkrém multipack, 4 x 80 ml",340.0,ml,nev_elteres,320.0,ml,review,"nev szerint 320 ml, API szerint 340.0 ml (elteres 6%)",data/markets_data/product_images/aldi/ca27cfc1e66b0822.jpg
Aldi,949100,"ENJOY FREE! Magvas szendvicsalap, gluténmentes, tejmentes, 8 x 80 g",485.0,g,nev_elteres,640.0,g,review,"nev szerint 640 g, API szerint 485.0 g (elteres 24%)",data/markets_data/product_images/aldi/3ee587d13ff03f36.jpg
Aldi,875946,"HÚSMESTER Csirkecomb, felsőcomb, vákuumcsomagolt /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/8d0c40bb74574b1a.jpg
Aldi,875947,"HÚSMESTER Csirkecomb, alsócomb, vákuumcsomagolt /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/3660e182662b2be6.jpg
Aldi,534214,"HÚSMESTER Csirkemellfilé vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/d922c6536e7ab0ab.jpg
