barcode_norm,product_name_old,product_name_new,category_norm_old,category_norm_new,category_base_old,category_base_new,unit_price_old,unit_price_new
5901086200153,Teekanne Earl Grey bergamott ízesítésű fekete teakeverék 20 filter 33 g,Teekanne Earl Grey bergamott ízesítésű fekete teakeverék 20 filter 33 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,954.0,954.0
5901086001019,Teekanne World of Fruits fekete ribizli- és citromízesítésű gyümölcstea keverék 20 filter 50 g,Teekanne World of Fruits fekete ribizli- és citromízesítésű gyümölcstea keverék 20 filter 50 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,964.0,964.0
70177077563,Twinings Earl Grey Black Tea 25 Tea Bags 50 g,Twinings Earl Grey Black Tea 25 Tea Bags 50 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1909.0,1909.0
70177010652,Twinings Earl Grey bergamott ízű fekete tea 100 g,Twinings Earl Grey bergamott ízű fekete tea 100 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1889.0,1889.0
70177078775,Twinings Lady Grey citrusízű fekete tea 25 filter 50 g,Twinings Lady Grey citrusízű fekete tea 25 filter 50 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1909.0,1909.0
5903548002770,"Good Calories datolyás szelet szárított almával, kesudióval és fahéjjal 35 g","Good Calories datolyás szelet szárított almával, kesudióval és fahéjjal 35 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,399.0,399.0
5997347540472,Mogyi Crasssh! Bit napraforgómag hagyma-tejföl ízű tésztabundában 70 g,Mogyi Crasssh! Bit napraforgómag hagyma-tejföl ízű tésztabundában 70 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,335.0,335.0
5997347542889,Mogyi Crasssh! Original pörkölt földimogyoró bacon ízű tésztabundában 60 g,Mogyi Crasssh! Original pörkölt földimogyoró bacon ízű tésztabundában 60 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,379.0,379.0
5997347542902,Mogyi Crasssh! Original pörkölt földimogyoró hagymás-tejfölös tésztabundában 60 g,Mogyi Crasssh! Original pörkölt földimogyoró hagymás-tejfölös tésztabundában 60 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,379.0,379.0
5997347541301,Mogyi Crasssh! Original pörkölt földimogyoró wasabis tésztabundában 60 g,Mogyi Crasssh! Original pörkölt földimogyoró wasabis tésztabundában 60 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,379.0,379.0
5997347540441,Mogyi Crasssh! Strong földimogyoró sajt és jalapeño ízű tésztabundában 60 g,Mogyi Crasssh! Strong földimogyoró sajt és jalapeño ízű tésztabundában 60 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,345.0,345.0
5997347542926,Mogyi Crasssh! pörkölt földimogyoró salsa-lime ízű tésztabundában 60 g,Mogyi Crasssh! pörkölt földimogyoró salsa-lime ízű tésztabundában 60 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,379.0,379.0
5997347540281,"Mogyi Fit mix szárazon pirított, sózott magvak 70 g","Mogyi Fit mix szárazon pirított, sózott magvak 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,644.0,644.0
5997347540144,Mogyi Mexicorn barbecue ízű pörkölt kukorica 55 g,Mogyi Mexicorn barbecue ízű pörkölt kukorica 55 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,419.0,419.0
5997347540151,Mogyi Mexicorn chilis pörkölt kukorica 55 g,Mogyi Mexicorn chilis pörkölt kukorica 55 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,419.0,419.0
