store_name,store_product_id,product_name,brand_name,available,expected_restock,barcode,unit_price,unit_type,unit_step,is_discounted,original_unit_price,secondary_unit_price,secondary_unit_type,secondary_unit_step,image_urls,description,categories,name_norm,barcode_norm,id_norm,image_first,category_norm,price_num,unit_step_num
Spar,1fcc71c97df68361325a4a0a,S-Budget sertés darálthús 900 g,,False,,5999033800402,1014.0,g,900.0,False,,,,,https://imageproxy.wolt.com/assets/689b8fb9f18c6aaa8030b2e6;https://imageproxy.wolt.com/assets/689b8fb9f18c6aaa8030b2e7,,belsosegek-126,s-budget sertés darálthús 900 g,5999033800402,1fcc71c97df68361325a4a0a,https://imageproxy.wolt.com/assets/689b8fb9f18c6aaa8030b2e6,belsosegek-126,1014.0,900.0
Spar,a8162075f279158941c40c5a,S-Budget sertés darálthús 900 g,,True,,5999033810241,1900.0,g,900.0,False,,,,,https://imageproxy.wolt.com/assets/689b8fbb9bbcfa1dc39bc8b8;https://imageproxy.wolt.com/assets/689b8fbc9bbcfa1dc39bc8bc,,belsosegek-126,s-budget sertés darálthús 900 g,5999033810241,a8162075f279158941c40c5a,https://imageproxy.wolt.com/assets/689b8fbb9bbcfa1dc39bc8b8,belsosegek-126,1900.0,900.0
Spar,6d7042bdf74f2b93cf59ea89,SPAR Natur*pur Bio zabpehely 500 g,,True,,9100000441207,834.0,g,500.0,False,,,,,https://imageproxy.wolt.com/assets/689baa8d9bbcfa1dc39be28a;https://imageproxy.wolt.com/assets/689baa8e9bbcfa1dc39be28f,,kave-tea-kakao-74,spar natur*pur bio zabpehely 500 g,9100000441207,6d7042bdf74f2b93cf59ea89,https://imageproxy.wolt.com/assets/689baa8d9bbcfa1dc39be28a,kave-tea-kakao-74,834.0,500.0
Spar,727120f851ebb42200d64c57,SPAR Natur*pur Bio zabpehely 500 g,,True,,9100000441221,540.0,g,500.0,False,,,,,https://imageproxy.wolt.com/assets/689baa9187a8f04a4a7dc000;https://imageproxy.wolt.com/assets/689baa9187a8f04a4a7dc005,,kave-tea-kakao-74,spar natur*pur bio zabpehely 500 g,9100000441221,727120f851ebb42200d64c57,https://imageproxy.wolt.com/assets/689baa9187a8f04a4a7dc000,kave-tea-kakao-74,540.0,500.0
Spar,bb7ff1955bba3a0dc7352436,Sóland Himalája étkezési kristálysó 1 kg,,True,,5997973108725,1169.0,g,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689b86b6f18c6aaa8030a26f,,salataontet-dresszing-166,sóland himalája étkezési kristálysó 1 kg,5997973108725,bb7ff1955bba3a0dc7352436,https://imageproxy.wolt.com/assets/689b86b6f18c6aaa8030a26f,salataontet-dresszing-166,1169.0,1000.0
Spar,7177ed0384a1fb664fef45fe,Sóland Himalája étkezési kristálysó 1 kg,,True,,5997973113613,1169.0,g,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689b86b787a8f04a4a7d9bdb,,alkoholok-171,sóland himalája étkezési kristálysó 1 kg,5997973113613,7177ed0384a1fb664fef45fe,https://imageproxy.wolt.com/assets/689b86b787a8f04a4a7d9bdb,alkoholok-171,1169.0,1000.0
Spar,bf1eb5d068ebb92cb928a022,Zott Belriso tejberizs 200 g,,True,,4014500512266,379.0,g,200.0,False,,,,,https://imageproxy.wolt.com/assets/689b7283f18c6aaa80309342,,ecet-olaj-citromle-97,zott belriso tejberizs 200 g,4014500512266,bf1eb5d068ebb92cb928a022,https://imageproxy.wolt.com/assets/689b7283f18c6aaa80309342,ecet-olaj-citromle-97,379.0,200.0
Spar,201453aa15f7c6714616d600,Zott Belriso tejberizs 200 g,,True,,4014500519135,379.0,g,200.0,False,,,,,https://imageproxy.wolt.com/assets/689b722687a8f04a4a7d7a42,,ecet-olaj-citromle-97,zott belriso tejberizs 200 g,4014500519135,201453aa15f7c6714616d600,https://imageproxy.wolt.com/assets/689b722687a8f04a4a7d7a42,ecet-olaj-citromle-97,379.0,200.0
Spar,b9d99cb9510a83fd386dfc08,Zott Jogobella joghurtos ital 250 g,,True,,4014500504520,379.0,g,250.0,False,,,,,https://imageproxy.wolt.com/assets/689b729787a8f04a4a7d7b10,,cukorkak-drazsek-108,zott jogobella joghurtos ital 250 g,4014500504520,b9d99cb9510a83fd386dfc08,https://imageproxy.wolt.com/assets/689b729787a8f04a4a7d7b10,cukorkak-drazsek-108,379.0,250.0
Spar,69c8f212fd548bce0a94a743,Zott Jogobella joghurtos ital 250 g,,True,,4014500504537,379.0,g,250.0,False,,,,,https://imageproxy.wolt.com/assets/689b729687a8f04a4a7d7b0f,,cukorkak-drazsek-108,zott jogobella joghurtos ital 250 g,4014500504537,69c8f212fd548bce0a94a743,https://imageproxy.wolt.com/assets/689b729687a8f04a4a7d7b0f,cukorkak-drazsek-108,379.0,250.0
Spar,3983efba69fc7c7d0570e765,Zott Jogobella laktózmentes élőflórás joghurt 150 g,,True,,4014500517360,158.0,g,150.0,False,,,,,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/05349e10-954a-11f0-ac5a-aeb8d2c4c035_464176006.jpg,,kave-75,zott jogobella laktózmentes élőflórás joghurt 150 g,4014500517360,3983efba69fc7c7d0570e765,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/05349e10-954a-11f0-ac5a-aeb8d2c4c035_464176006.jpg,kave-75,158.0,150.0
Spar,8ea81d0482bb6d4fbe1b4224,Zott Jogobella laktózmentes élőflórás joghurt 150 g,,True,,4014500518855,158.0,g,150.0,False,,,,,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/3834b43a-954a-11f0-b757-9edb1764b31c_511711006.jpg,,kave-75,zott jogobella laktózmentes élőflórás joghurt 150 g,4014500518855,8ea81d0482bb6d4fbe1b4224,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/3834b43a-954a-11f0-b757-9edb1764b31c_511711006.jpg,kave-75,158.0,150.0
Spar,8797195c4845e9df95436074,Zott Jogobella élőflórás joghurt 150 g,,True,,4014500512907,151.0,g,125.0,False,,,db,1.0,https://imageproxy.wolt.com/assets/69fdb169b44b67627d942114,,desszert-bonbon-107,zott jogobella élőflórás joghurt 150 g,4014500512907,8797195c4845e9df95436074,https://imageproxy.wolt.com/assets/69fdb169b44b67627d942114,desszert-bonbon-107,151.0,125.0
Spar,ef2039bc13c831ab5419388e,Zott Jogobella élőflórás joghurt 150 g,,True,,4014500512976,151.0,g,150.0,False,,,db,1.0,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/c9bb5fcc-9549-11f0-ac71-6eb138b48dfb_328098000.jpg,,desszert-bonbon-107,zott jogobella élőflórás joghurt 150 g,4014500512976,ef2039bc13c831ab5419388e,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/c9bb5fcc-9549-11f0-ac71-6eb138b48dfb_328098000.jpg,desszert-bonbon-107,151.0,150.0
Spar,40059e8a30d481359bac0c77,Zott Jogobella élőflórás joghurt 150 g,,True,,4014500512990,151.0,g,150.0,False,,,,,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/b2a2e652-9549-11f0-9877-0e83118a0f9e_230361001.jpg,,desszert-bonbon-107,zott jogobella élőflórás joghurt 150 g,4014500512990,40059e8a30d481359bac0c77,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/b2a2e652-9549-11f0-9877-0e83118a0f9e_230361001.jpg,desszert-bonbon-107,151.0,150.0
Spar,433f156fc0bac81be05e7ea7,Zott Jogobella élőflórás joghurt 150 g,,True,,4014500513928,151.0,g,150.0,False,,,,,https://imageproxy.wolt.com/assets/69fdb1b7b44b67627d942135,,desszert-bonbon-107,zott jogobella élőflórás joghurt 150 g,4014500513928,433f156fc0bac81be05e7ea7,https://imageproxy.wolt.com/assets/69fdb1b7b44b67627d942135,desszert-bonbon-107,151.0,150.0
Spar,3f45a78736c36c84d2435fdf,Zott Jogobella élőflórás joghurt 400 g,,True,,4014500512914,357.0,g,400.0,False,,,,,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/fe20d7c4-9549-11f0-9fe1-02dd9fbefa53_432645008.jpg,,desszert-bonbon-107,zott jogobella élőflórás joghurt 400 g,4014500512914,3f45a78736c36c84d2435fdf,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/fe20d7c4-9549-11f0-9fe1-02dd9fbefa53_432645008.jpg,desszert-bonbon-107,357.0,400.0
Spar,37800b584af936f39b3431f8,Zott Jogobella élőflórás joghurt 400 g,,True,,4014500513010,357.0,g,400.0,False,,,db,1.0,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/ef68d1f0-9549-11f0-818c-d6880c8cce6c_408151007.jpg,,desszert-bonbon-107,zott jogobella élőflórás joghurt 400 g,4014500513010,37800b584af936f39b3431f8,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/ef68d1f0-9549-11f0-818c-d6880c8cce6c_408151007.jpg,desszert-bonbon-107,357.0,400.0
Spar,e0693935d6331f12d763da4f,Zott Jogobella élőflórás joghurt 400 g,,True,,4014500516363,357.0,g,400.0,False,,,,,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/0ebab604-954a-11f0-ac8b-f6c90d5a7ab9_482104005.jpg,,desszert-bonbon-107,zott jogobella élőflórás joghurt 400 g,4014500516363,e0693935d6331f12d763da4f,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/0ebab604-954a-11f0-ac8b-f6c90d5a7ab9_482104005.jpg,desszert-bonbon-107,357.0,400.0
