store_name,store_product_id,product_name,brand_name,available,expected_restock,barcode,unit_price,unit_type,unit_step,is_discounted,original_unit_price,secondary_unit_price,secondary_unit_type,secondary_unit_step,image_urls,description,categories,name_norm,barcode_norm,id_norm,image_first,category_norm,category_base,price_num
Spar,1fcc71c97df68361325a4a0a,S-Budget sertés darálthús 900 g,,False,,5999033800402,1014.0,g,900.0,False,,,,,https://imageproxy.wolt.com/assets/689b8fb9f18c6aaa8030b2e6;https://imageproxy.wolt.com/assets/689b8fb9f18c6aaa8030b2e7,,hal-123,s-budget sertés darálthús 900 g,5999033800402,1fcc71c97df68361325a4a0a,https://imageproxy.wolt.com/assets/689b8fb9f18c6aaa8030b2e6,hal-123,hal,1014.0
Spar,a8162075f279158941c40c5a,S-Budget sertés darálthús 900 g,,True,,5999033810241,1900.0,g,900.0,False,,,,,https://imageproxy.wolt.com/assets/689b8fbb9bbcfa1dc39bc8b8;https://imageproxy.wolt.com/assets/689b8fbc9bbcfa1dc39bc8bc,,hal-123,s-budget sertés darálthús 900 g,5999033810241,a8162075f279158941c40c5a,https://imageproxy.wolt.com/assets/689b8fbb9bbcfa1dc39bc8b8,hal-123,hal,1900.0
Spar,6d7042bdf74f2b93cf59ea89,SPAR Natur*pur Bio zabpehely 500 g,,True,,9100000441207,834.0,g,500.0,False,,,,,https://imageproxy.wolt.com/assets/689baa8d9bbcfa1dc39be28a;https://imageproxy.wolt.com/assets/689baa8e9bbcfa1dc39be28f,,reggeli-69,spar natur*pur bio zabpehely 500 g,9100000441207,6d7042bdf74f2b93cf59ea89,https://imageproxy.wolt.com/assets/689baa8d9bbcfa1dc39be28a,reggeli-69,reggeli,834.0
Spar,727120f851ebb42200d64c57,SPAR Natur*pur Bio zabpehely 500 g,,True,,9100000441221,540.0,g,500.0,False,,,,,https://imageproxy.wolt.com/assets/689baa9187a8f04a4a7dc000;https://imageproxy.wolt.com/assets/689baa9187a8f04a4a7dc005,,reggeli-69,spar natur*pur bio zabpehely 500 g,9100000441221,727120f851ebb42200d64c57,https://imageproxy.wolt.com/assets/689baa9187a8f04a4a7dc000,reggeli-69,reggeli,540.0
Spar,c652786df1ad525a61be717a,SPAR tejberizs 200 g,,True,,15999033884638,294.0,g,200.0,False,,,,,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084e8,,rizs-koles-hajdina-arpa-94,spar tejberizs 200 g,15999033884638,c652786df1ad525a61be717a,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084e8,rizs-koles-hajdina-arpa-94,rizs-koles-hajdina-arpa,294.0
Spar,1b6c7b11e9f304501cb6a38a,SPAR tejberizs 200 g,,True,,15999033884645,294.0,g,200.0,False,,,,,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084e9,,rizs-koles-hajdina-arpa-94,spar tejberizs 200 g,15999033884645,1b6c7b11e9f304501cb6a38a,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084e9,rizs-koles-hajdina-arpa-94,rizs-koles-hajdina-arpa,294.0
Spar,592e6482f27880aab952f0ce,SPAR tejberizs 200 g,,True,,15999033884652,294.0,g,200.0,False,,,,,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084ea,,rizs-koles-hajdina-arpa-94,spar tejberizs 200 g,15999033884652,592e6482f27880aab952f0ce,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084ea,rizs-koles-hajdina-arpa-94,rizs-koles-hajdina-arpa,294.0
Spar,bb7ff1955bba3a0dc7352436,Sóland Himalája étkezési kristálysó 1 kg,,True,,5997973108725,1169.0,g,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689b86b6f18c6aaa8030a26f,,szoszok-martasok-ontetek-162,sóland himalája étkezési kristálysó 1 kg,5997973108725,bb7ff1955bba3a0dc7352436,https://imageproxy.wolt.com/assets/689b86b6f18c6aaa8030a26f,szoszok-martasok-ontetek-162,szoszok-martasok-ontetek,1169.0
Spar,7177ed0384a1fb664fef45fe,Sóland Himalája étkezési kristálysó 1 kg,,True,,5997973113613,1169.0,g,1000.0,False,,,,,https://imageproxy.wolt.com/assets/689b86b787a8f04a4a7d9bdb,,grill-es-pac-szoszok-167,sóland himalája étkezési kristálysó 1 kg,5997973113613,7177ed0384a1fb664fef45fe,https://imageproxy.wolt.com/assets/689b86b787a8f04a4a7d9bdb,grill-es-pac-szoszok-167,grill-es-pac-szoszok,1169.0
Spar,ef1cd6f4e7b8f2f32bc3f159,Virágméz 250 g,,True,,5998150520132,1209.0,g,250.0,False,,,,,https://imageproxy.wolt.com/assets/689b888ff18c6aaa8030a53b,,gyumolcslevek-144,virágméz 250 g,5998150520132,ef1cd6f4e7b8f2f32bc3f159,https://imageproxy.wolt.com/assets/689b888ff18c6aaa8030a53b,gyumolcslevek-144,gyumolcslevek,1209.0
Spar,3329489e048d41e73f11a8c8,Virágméz 250 g,,True,,5998150522501,1469.0,g,250.0,False,,,,,https://imageproxy.wolt.com/assets/689b888ff18c6aaa8030a53c,,gyumolcslevek-144,virágméz 250 g,5998150522501,3329489e048d41e73f11a8c8,https://imageproxy.wolt.com/assets/689b888ff18c6aaa8030a53c,gyumolcslevek-144,gyumolcslevek,1469.0
Spar,0030014568c28e788fee54e9,Virágméz 900 g,,True,,5998035100046,2939.0,g,900.0,False,,,,,https://imageproxy.wolt.com/assets/689b87bc87a8f04a4a7d9d8d,,gyumolcslevek-144,virágméz 900 g,5998035100046,0030014568c28e788fee54e9,https://imageproxy.wolt.com/assets/689b87bc87a8f04a4a7d9d8d,gyumolcslevek-144,gyumolcslevek,2939.0
